Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
9,165,9_drive_driving_car_truck,EV Test Drives,"drive, driving, driver, driven, car, road, ride, roads, truck","drive, driving, car, driver, fun, thing, road","drive, it, driving, car, would, go","You should let me drive the car. How was his driving? The car is incredible. || Can I drive it? I just want to drive it. Really? || When do I get to drive it? How about right now? || Maybe we can get you behind the wheel of one of these cars. All right. || Okay, yeah, sounds good. They're not gonna let me drive it, but I really, really wanna drive it. Oh, look at that heat exchange here. || Back is so long, man. We're here at golden hour. Buddy Jason from Engineering Explained."
10,136,10_polestar_car_brand_electric,Polestar EV Brand Launch,"polestar, volvo, electric, factory, brand, car, cars, performance, battery, design","car, electric, brand, powerful, cars, pouch, performance, battery, customers, world","polestar, car, electric, brand, they, volvo, china","Polestar stands for pure, progressive performance. And this is our first product, Polestar 1. || Bye-bye, Dumbo. Next, let me show you around inside Polestar 2. Now, how do we get in? || So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. But there's another reason why this is a truly exciting day for us here today, because Polestar 2 is our first pure electric Polestar, a true battery electric car. Now, Polestar is dedicated to electric mobility. || We decided that we use prismatic cells and pouch cells. So prismatic ones are like little boxes and then you have also the other version that are called pouch, that are little pouch bags we call it. We had to find solutions to bring these different kind of cell formats into the battery that we are flexible and can use both of them. || In this case, we have to go to the lab in Germany and with one extract we have to use a leaf balm. So we have to do a short process and then a long process and then we have to do it again. You can see the whole area here, the batteries and so on, all of them are recycled. || So it's a really good moment now to cross way over the world on the other side to Shanghai and see how our launch of Focus has been unfolding there in just the last few hours. Let's take a look. Hi Jim, hi Steve, hello there everybody."
11,128,11_prius_prius prime_prime_hybrid,Toyota Prius Plug-in Hybrid,"prius, hybrid, toyota, efficiency, prime, vehicle, convenience, per, performance, efficient","hybrid, efficiency, available, plug, seats, drive","prius, hybrid, prime, toyota, efficiency, seats, drive, fuel","And when operating as a hybrid, Prius Prime's EPA-estimated rating of up to 52 miles per gallon combined ensures that the fuel stops are few, allowing the adventures to go on even longer. Boasting a flowing silhouette and a striking front fascia accentuated by standard LED exterior lighting, Prius Prime makes a bold statement. Additionally, standard 17-inch alloy wheels and available 19-inch wheels enhance Prius Prime's sporty appearance while hinting at its athletic performance. || Prius 3 Touring, Prius 4, and Prius 4 Touring add soft text-trimmed front seats. Prius 4 and Prius 4 Touring also add heated front seats for added comfort and a touch of elegance, as well as an 8-way power driver's seat with power lumbar support. Always quick to demonstrate its versatility, Prius's 60-40 split fold-down rear seats incorporate a fold-down center armrest for added comfort and convenience. || Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. The latest Prius generation offers six distinct takes on the hybrid experience. First, L-Eco boasts the best fuel efficiency of the entire Prius lineup, while also having the lowest starting price. || Set for a spring 2009 release, the 2010 Honda Insight Hybrid hopes to answer the fuel-efficient gauntlet thrown down by Toyota. The Insight is Honda's response to the Toyota Prius, and like the Prius, is expected to receive over 40 miles per gallon for both city and highway driving. The Insight uses a complete gas-electric hybrid system and features a 1.3-liter, 98-horsepower, 4-cylinder engine and is paired to an electric motor. || So critically important car for us, and it's very, very competitive. It looks great, it drives great, it's got better range and better fuel economy than our competitor Prius. So we're really excited about it. || There you go. Perfect. Can't have too much on our hands, but you know, this is a very competitive market and I want you to know you're going head to head with the Prius."
12,108,12_infiniti_q50_infinity_brand,Infiniti Hybrid Vehicles,"q50, infiniti, q60, sedan, hybrid, brand, engine, luxury, cars, driver","infinity, brand, new, performance, market, future, technology, car, design, first","infiniti, q50, infinity, brand, new, in, performance, market, future, johan","Technology. Ever wonder who's in command? In an Infiniti Q50 there's no question. || Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50. If the Q50 name is new to you, you can be assured it's not going to be unfamiliar for long. The Q50 is the latest premium performance sedan from Infiniti. || So today, the Q50 has yet again moved forward to the next level, becoming even better and more advanced. So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50. || So most commonly you see this used for your heated steering wheel or your garage door opener once you have that program. I want to say thank you for taking time out of your day to take a look at the 2020 Q7 with us. And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you. || I don't want to open my mouth, but this is one of the most important roles. As I said before, when you look at the auto-toucoups, you can see the brakes and the glims, the orange and the black, you know what I mean? That is one of the things I really like about Captain Future. || While Nissan has already had a hybrid on the market for a few years in the U.S., their upmarket Infiniti brand didn't have an alternative fuel vehicle of their own. But that all changes with the introduction of the 2012 Infiniti M35H."
13,108,13_mustang_mach_mustang mach_ford,Ford Mustang Mach-E,"mustang, mustangs, ford, car, suv, vehicle, drive, mach, pony","mustang, mustangs, vehicle, drive, electric, customers","mustang, mach, mustangs, vehicle, ford, from, drive","So now it's time to take a closer look at what it's like actually living with the Mustang Mach-E. And over to my first guest, he is the Mustang Mach-E product manager for Europe, a fellow EV enthusiast, and someone who's been very fortunate to actually live with the Mustang Mach-E prototype for a while now. Stefan Tiniman, welcome, so good to see you. Hello, Nikki. || And, you know, the other thing is, is that once we knew we were really able to deliver Mustang performance, then the let's say the excitement, the enthusiasm around delivering our first all electric vehicle as a Mustang just got turned to 11. what we first called Mustang-inspired proposals, but these actually became very quickly the Mustang Mach-E proposals. || I got my first Mustang before I could even drive. My Mustang is everything to me. I grew up in Vietnam and my first image of a Mustang was everything that I thought was great about America. || So thank you for this bloodline of ingenuity, for this brotherhood, for writing the source code for these cars, because it's not yet time for your legacy to go. It's go time for the next generation of Dodge muscle. || Driven Hall here today. You can see the latest and greatest as we talked about before the latest Ram Allegiance. We've just seen the spec 5 Mustang. || And welcome to From Behind the Wheel. My name is Nikki Shields, and we are absolutely thrilled that you're joining us virtually from all around Europe. And no doubt, just like me, you're probably extremely eager to have a detailed look at the exciting, the all new, all electric Ford Mustang Mach-E. Well, I've got some good news, and I think we all need a bit of that right now, don't we?"
14,106,14_eqs_eqe_eq_mercedes,Mercedes EQ Electric Models,"eqs, eqe, eq, mercedes, electric, car, benz, vehicles, design, luxury","electric, new, car, driving, about, performance, first, range, light","eqs, eqe, eq, mercedes, electric, new, car, amg, about","My name is Amanda Stretton and today we've got something very special for you. So join me as I get to spend the day with the new EQE by Mercedes EQ. The EQE is the latest all electric business saloon by Mercedes EQ with its cutting edge exterior design and truly pioneering levels of engineering. || So EQE, newest member of Mercedes EQ. Walking up to it, it's a familiar design language. Yeah, the EQS and the EQE share a lot of the same design signatures that make it true to the Mercedes EQ family. || The all electric EQE. || What an emotion! The very first Cinque Chateau just landed and I'm about to take it for a spin on America's electric corridor between LA and Vegas. This is the all-new, all-electric 500E. || The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. My name is Nick and I'm here to meet Brian to see the all-new Mercedes-Benz AMG EQS. Hey Nick. || That looked like fun. Yeah, it's an absolute blast. So what do you think of the EQS 580?"
15,100,15_president_ladies_vice_vice president,Automotive Executive Presentations,"hyundai, vice, acura, gm, auto, mayor, tesla, ceo, van, executive","president, ladies, vice, name, product, manager","president, vice, manager, chief, global, tesla","And we are all very proud of it. And now, to share some of the engineering advances, please welcome the Vice President of Corporate Product Planning at Hyundai Motor America, Mike O'Brien. Thank you, Peter. || Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone. || We've assembled the right group of people here to help make today newsworthy and productive for you, including key members of our executive team. Joining us are Michael Simcoe, Vice President of GM Global Design, Helen Emsley, Executive Director of Global Buick and GMC Design, Mark Royce, Executive Vice President of GM Global Product Development, And Alan Beattie, President of GM North America, will also be joining us shortly. || Thank you for being with us. Now Mr. Ito will be available for a few quick photos then please join us and the rest of the Acura team on stage for a closer look at the future of Acura. || We're at the right location. This is the right place. This is also the biggest Sam & Nico brand integration we've ever had. || Ladies and gentlemen, Executive Vice President of the Acura Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the Acura brand."
16,90,16_corolla_corolla hybrid_hybrid_toyota,Toyota Corolla Hybrid Features,"corolla, toyota, hybrid, hatchback, rear, steering, lane, driving","hybrid, safety, available, features, assist, lane, system, black, standard","corolla, hybrid, toyota, safety, apex, features, lane, standard, drivers","This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA. This new platform helps enhance Corolla's fun-to-drive charisma, while still maintaining the model's legendary value and dependability. || When these advanced features are considered, it's clear that Corolla is a seriously high-tech compact. Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. || Well you do! but it's fun to have that back out there and you know there's just not that many offering them anymore but you can get one in a Corolla and just like we made Corolla hatchback greater than ever we're doing the same with the all-new Corolla sedan but before we unveil this car I want to share some important features that you're not going to see when we pull back the silks and they're all focused on safety the new Corolla comes standard with second generation Toyota Safety Sense or TSS Okay, I know. || Classic trim names return for 2020, including the modern L, LE, and XLE, and the sporty SE and XSE grades, while a Corolla Hybrid makes a big debut with the Hybrid LE grade. And more than ever before, Corolla's different flavors mean genuinely different vehicles, with three distinct personalities, features, and specifications for each trim line. Let's take a closer look at some details. || Outside, the 2020 Corolla stands out with not just its bold new character lines, but also a host of details unique to each model. These include a range of stylish wheels, including eye-grabbing 18-inch alloy wheels on sport grades, and unique front and rear styling and trim accents that help to further differentiate the various members of the Corolla family. || For the SE and XSE grades, these include integrated dark gray accents on the 18-inch alloy wheels, as well as the front, rear, and side rocker panels. Regardless of trim, all Corolla models also include standard LED exterior lighting, including headlights, taillights, and daytime running lights. These powerful new looks go hand in hand with the performance to match."
17,89,17_door_open_cover_tailgate,Tailgate and Cargo Access,"trunk, push, soft, pulling, lift, top, pull, press, pushing, rear","door, top, cover, tailgate, hood, place, trunk, release","door, cover, tailgate, hood, trunk, release, pull, soft","The cargo cover can then be placed inside like this. Next, remove the cover attached to the tailgate. Place your hands around the lower edge of the cover and pull to unclip. || For convenient and easy access to both front and rear, The i3 doors are designed to open outward with no obstructions to the passenger compartment. To open the rear door, pull the handle here. Always close the rear door first. || Once at the hood, reach in and press the tab to release the locking mechanism and open the hood. The tailgate on the i3 can be opened from both inside and outside the vehicle. To open the tailgate from inside, press the button in the driver's footwell. || So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person. You're going to kick underneath the bumper and immediately back up and the hatch will open up for you. || And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you. || To do this, first you must remove the cover behind the rear seats. Place your hands in the recessed grips on the bottom of the cover and push upwards until the cover comes free. Next, open the floor compartment by pulling upward on the handle."
18,89,18_crown_toyota crown_toyota_platinum,Toyota Crown Sedan,"crown, toyota, flagship, car, hybrid, vehicle, sedan, platinum, electrified, premium","crown, performance, sedan, available, generation, driving, new, chief, system, drive","crown, toyota, platinum, performance, sedan, japan, generation, limited, drive","Toyota Crown sets the bar for premium sedans. With its distinct lift-up appearance and an all-hybrid electric powertrain lineup, this icon redefines the sedan. Available in four grades with standard all-wheel drive, XLE, Limited, the new Nightshade Edition, and Platinum, the 2025 Toyota Crown wraps upscale appointments, comfort, and performance into a striking package. || Toyota Crown sets the bar for premium sedans. With its distinct lift-up appearance and an all-hybrid electric powertrain lineup, this icon redefines the sedan across all fronts. Available in three grades, XLE, Limited, and Platinum, all of which come standard with all-wheel drive, Toyota Crown emphasizes upscale appointments, comfort, and performance wrapped in an eye-catching package unlike anything else. || Take all of these factors together and it's clear that Toyota Crown is a leader, an electrified flagship packed with style, performance, and technology. Discover Toyota Crown today at toyota.com. || Hello, everyone. Even though we are here today to spotlight the launch of a new model, we arranged 15 generations of the crown for you to see on the way in. Some of you may have wondered why. || Let me begin by telling you a crown story woven by successive chief engineers. The crown's origin can be traced back to Toyota's founding era. 90 years ago, our founder Keiichiro Toyoda decided to take on the challenge of entering the automobile business. || Driving the ambitious dream was his philosophy of enriching the lives of the Japanese people by creating a passenger car for the masses. Production of Toyota's longed-for domestic passenger car finally began in January 1952, 15 years after the company's founding. It was Ketro himself who named the vehicle Crown."
19,82,19_connect_audio_wireless_available,In-Car Multimedia Connectivity,"toyota, carplay, devices, android, drivers, apple, touchscreen, wireless, iphone, multimedia","available, audio, wireless, standard, multimedia, compatibility, touchscreen, drivers, maps","audio, wireless, toyota, compatibility, drivers, maps, iphone, connects, carplay, jbl","It also packs intuitive technologies that keep everyone connected. Every Grand Highlander comes standard with the Toyota Audio Multimedia Platform with a 12.3-inch touchscreen and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. || Toyota Crown features the newest technologies from Toyota. Every grade comes standard with the latest Toyota Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. || When it comes to cutting-edge connectivity, Prius delivers thanks to the intuitive Toyota Audio Multimedia platform. Featuring an 8-inch or an available 12.3-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. || There are also available dual USB charging ports to keep your devices charged on the go. Available heated front and rear seats will keep you comfy on those cold mornings and chilly nights. And the Elantra's available integrated memory system remembers the position of the driver's seat and the side mirrors you prefer for those times someone else has been behind the wheel. || Every model in the Corolla lineup features Toyota's latest Audio Multimedia systems, complete with 7-inch touchscreen on Corolla L and 8-inch touchscreens on all other models. These systems also all feature standard Apple CarPlay compatibility. Apple CarPlay is the smarter way to use your iPhone in the car. || Service Connect, which can connect Corolla to your dealership of choice, offering vehicle status updates and maintenance alerts. And even standard Wi-Fi Connect, which enables up to five mobile devices to connect to an in-vehicle Wi-Fi hotspot. Also standard equipment on hybrid and X-grade models is a slick digital instrument panel that includes a 7-inch color multi-information display seamlessly integrated into the surrounding analog gauge cluster."
20,80,20_amg_gt_amg gt_door,Electric GT Performance Coupes,"amg, gt3, gt4, steering, gtr, gtc, car, gtb, engine, mercedes","door, performance, steering, coupe, racing, buttons, line, features, driving","amg, door, gt3, steering, coupe, racing, roadster, buttons, features","AMG Drive Unit's steering wheel buttons can also be used to toggle between different settings for other features. For instance, exhaust flaps for the AMG Performance Exhaust, if equipped, or to enable manual shifting mode. Now, let's get inside the GT 63 S and take a look at some of the interior innovations that are now standard for the entire AMG GT model line. || You are a GT owner yourself. Yeah. So you're the perfect person to ask what is the essence of an AMG GT and what makes this so AMG? || The AMG of AMGs. || I did many cars with my team but the e-tron GT is by far the most attractive car I designed in my career. || a four-door with all that as well. Yes, the Charger Daytona will be available as a two-door coupe and the four-door sedan hatch, both with the same wide-body stance that will put the passive world on notice. And what else puts the passive world on notice is our frasonic chambered exhaust system. || We consider the 2017 GTB as an ultimate base for the development and competition of the GT3. We believe that, as we have said for the past 50 years, we will not allow others to value the symbolic value of this GT3. We are very happy to be able to achieve such a great value, which has inspired us and has affected our sport."
