topic,model,runs_requested,successful_runs,error_runs,unique_normalized_labels,mode_label,mode_normalized_label,mode_count,mode_ratio,avg_jaccard_to_mode,stable,keywords,all_labels
10,openai/gpt-5.5,30,30,0,7,Infiniti Hybrid Vehicles,infiniti hybrid vehicles,21,0.7,0.8416666666666667,True,"infiniti, q50, infinity, brand, new, performance, market, future, johan, technology",Infiniti Hybrid Performance || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Models || Infiniti Hybrid Technology || Infiniti Hybrid Vehicles || Infiniti Hybrid Performance || Infiniti Hybrid Vehicles || Infiniti Hybrid Performance || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid and EV Strategy || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Technology || Infiniti Hybrid Vehicles || Infiniti Hybrid Performance Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Performance and Hybrids || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles || Infiniti Hybrid Vehicles
11,openai/gpt-5.5,30,30,0,2,Mercedes EQS and EQE,mercedes eqs and eqe,29,0.9666666666666667,0.9866666666666667,True,"eqs, eqe, eq, mercedes, electric, new eqs, mercedes eq, new, driving, new eqe",Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQ || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE || Mercedes EQS and EQE
12,openai/gpt-5.5,30,30,0,8,Automotive Executive Presentations,automotive executive presentations,21,0.7,0.8577777777777779,True,"president, vice, ladies, vice president, america, mr, tesla, chief, global, division",Executive EV Launch Presentations || Executive Brand Presentations || Automotive Executive || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Executive Brand Presentations || Executive Auto Presentations || Automotive Executive Present || Automotive Executive Present || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automotive Executive Presentations || Automaker Executive Presentations
13,openai/gpt-5.5,30,30,0,2,Toyota Corolla Hybrid Features,toyota corolla hybrid features,25,0.8333333333333334,0.9583333333333334,True,"corolla, corolla hybrid, hybrid, toyota, safety, available, apex, new corolla, features, assist",Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid || Toyota Corolla Hybrid || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features || Toyota Corolla Hybrid Features
14,openai/gpt-5.5,30,30,0,8,Toyota Crown Sedan History,toyota crown sedan history,10,0.3333333333333333,0.7233333333333332,True,"crown, toyota crown, toyota, platinum, performance, sedan, japan, new crown, available, generation",Toyota Crown Sedan History || Toyota Crown Sedan History || Toyota Crown Sedan Heritage || Toyota Crown Heritage || Toyota Crown Sedan History || Toyota Crown Generations || Toyota Crown Sedan History || Toyota Crown Sedan || Toyota Crown Sedan History || Toyota Crown Sedan History || Toyota Crown Heritage || Toyota Crown Heritage || Toyota Crown Sedan History || Toyota Crown Sedan || Toyota Crown Sedan || Toyota Crown Sedan History || Toyota Crown Heritage || Toyota Crown Sedan || Toyota Crown Sedan History || Toyota Crown Sedan || Toyota Crown Sedan Launch || Toyota Crown Sedan || Toyota Crown Sedan || Toyota Crown Sedan Legacy || Toyota Crown Heritage || Toyota Crown Sedan || Toyota Crown Sedan History || Toyota Crown Heritage || Toyota Crown Sedan Legacy || Toyota Crown
15,openai/gpt-5.5,30,30,0,6,Tailgate and Cargo Access,tailgate and cargo access,12,0.4,0.6688888888888891,True,"open, cover, door, hood, place, close, release, pull, tailgate, trunk",Power Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Cover || Power Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Access || Hands-Free Tailgate Operation || Hands-Free Tail || Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Access || Tailgate and Cargo Access || Tailgate and Cargo Cover || Power Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Cover || Tailgate and Cargo Cover || Tailgate and Cargo Cover || Tailgate and Cargo Access || Power Tailgate and Cargo Cover || Power Tailgate Operation || Tailgate and Cargo Cover || Tailgate and Cargo Access || Tailgate and Cargo Access || Hands-Free Tailgate Operation || Hands-Free Tailgate Operation
16,openai/gpt-5.5,30,30,0,6,Electric GT Performance Coupes,electric gt performance coupes,12,0.4,0.7516666666666668,True,"amg, gt, amg gt, door, gt door, gt3, amg line, steering, performance, door coupe",Electric || Electric GT Performance Coup || Electric GT Performance || Electric GT Performance Coup || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance || Electric GT Performance Coupes || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Cars || GT Performance Coupes || Electric || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Coupes || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Coupes || Electric GT Performance Cars || Electric GT Performance Cars || Electric GT Performance Cars
17,openai/gpt-5.5,30,30,0,4,In-Car Multimedia Connectivity,in-car multimedia connectivity,24,0.8,0.9083333333333333,True,"connect, audio, available, wireless, audio multimedia, toyota, standard, multimedia, compatibility, touchscreen",In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Vehicle Multimedia Connectivity || In-Car Connectivity and Multimedia || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Vehicle Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Connectivity Infotainment || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Vehicle Multimedia Connectivity || In-Vehicle Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity || In-Car Multimedia Connectivity
18,openai/gpt-5.5,30,30,0,4,Toyota Highlander Hybrid,toyota highlander hybrid,12,0.4,0.85,True,"highlander, grand highlander, hybrid, available, standard, grand, grade, platinum, power, row",Toyota Highlander Hybrid || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid || Toyota Highlander Hybrid || Toyota Highlander Hybrid SUVs || Toyota Highlander Hybrid || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid || Toyota Highlander Hybrid || Toyota Highlander Hybrid || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid || Toyota Highlander Hybrid SUVs || Toyota Highlander Hybrid SUVs || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid || Toyota Highlander Hybrid || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid SUV || Toyota Highlander Hybrid Features || Toyota Highlander Hybrid || Toyota Highlander Hybrid
19,openai/gpt-5.5,30,30,0,2,Lithium-Ion Battery Packs,lithium-ion battery packs,24,0.8,0.95,True,"battery, lithium, lithium ion, ion, batteries, pack, battery pack, iron, cooling, cells",Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs || Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs || EV Lithium-Ion Battery Packs
20,openai/gpt-5.5,30,30,0,8,Affordable American EVs,affordable american evs,10,0.3333333333333333,0.5317460317460316,False,"k27, america, auto evolution, electric, ev, affordable, vehicles, evolution, inventory, electric vehicles",Affordable American EVs || Affordable EVs in America || Affordable Electric Vehicles || Affordable Electric Vehicles in America || Affordable American EVs || Affordable American EVs || Affordable Electric Vehicles || Affordable EVs in America || Affordable Electric Vehicles || Affordable Electric Vehicles || Affordable American Electric Vehicles || Affordable EVs in America || Affordable American EVs || Affordable EVs || Affordable Electric Vehicles || Affordable American EVs || Affordable Electric Vehicles || Affordable American EVs || Affordable EVs in America || Affordable American || Affordable American EVs || Affordable American EVs || Affordable EVs in America || Affordable Electric Vehicles || Affordable Electric Vehicles America || Affordable American EVs || Affordable Electric Vehicles America || Affordable Electric Vehicles in America || Affordable American EVs || Affordable Electric Vehicles
21,openai/gpt-5.5,30,30,0,4,EV Acoustic Silence,ev acoustic silence,13,0.43333333333333335,0.6566666666666666,True,"sound, quiet, noise, sounds, exhaust, silence, acoustic, car, cook, car sound",EV Acoustic Quietness || EV Acoustic Silence || EV Acoustic Silence || EV Acoustic Silence || EV Cabin Acoustics || EV Acoustic Silence || EV Acoustic Silence || EV Cabin Acoustics || EV Acoustic Silence || EV Acoustic Silence || EV Acoustic Quietness || EV Acoustic Silence || EV Acoustic Quietness || EV Acoustic Quietness || EV Acoustic Silence || EV Quiet Cabin || EV Acoustic Quietness || EV Cabin Acoustics || EV Acoustic Quietness || EV Acoustic Quietness || EV Acoustic Silence || EV Acoustic Quietness || EV Cabin Acoustics || EV Acoustic Quietness || EV Acoustic Quietness || EV Acoustic Silence || EV cabin acoustics || EV Acoustic Quietness || EV Acoustic Silence || EV Acoustic Silence
22,openai/gpt-5.5,30,30,0,3,Automatic Climate Control,automatic climate control,26,0.8666666666666667,0.9333333333333333,True,"air, temperature, degrees, turn, control, climate, button, set temperature, blow, automatic climate",Climate Control Systems || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Climate Control Settings || Climate Control Settings || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Climate Control Systems || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control || Automatic Climate Control
23,openai/gpt-5.5,30,30,0,2,Honda Clarity Electrified Series,honda clarity electrified series,27,0.9,0.9599999999999999,True,"clarity, plug, series, fuel cell, electrified, cell, plug hybrid, honda, electric, customers",Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Lineup || Honda Clarity Electrified Series || Honda Clarity Electrified Lineup || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Lineup || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series || Honda Clarity Electrified Series
