selection_label,topic,rank,representative_text
most_topics,7,2,"If you want a large, luxurious, five-passenger battery electric sedan that's affordable, Model EV is your car. The Model Electric is powered by a 161 horsepower electric motor drawing from its 25.5 kilowatt hour battery pack. Full recharge time at 240 volts will be just over three hours."
most_topics,7,3,"If you want a large, luxurious five-passenger battery electric sedan that's affordable, Model EV is your car. The Model Electric is powered by a 161-horsepower electric motor drawing from its 25.5 kilowatt-hour battery pack. Full recharge time at 240 volts will be just over three hours."
most_topics,8,1,"Using the key fob, press this button for approximately one second. The hood is unlocked and slightly raised. To open the hood from inside, press the button in the driver's footwell."
most_topics,8,2,"Next, remove the cover attached to the tailgate. Place your hands around the lower edge of the cover and pull to unclip. Then push it upwards to disengage and place the cover under the floor compartment."
most_topics,8,3,"Once at the hood, reach in and press the tab to release the locking mechanism and open the hood. The tailgate on the Model can be opened from both inside and outside the vehicle. To open the tailgate from inside, press the button in the driver's footwell."
most_topics,9,1,"Of course, compared to ultra-rapid and fast DC chargers, charging times at AC chargers are slower, around nine hours, to charge for a 400 volt AC industrial three-phase socket with 16 amp of current and 11 kilowatt of power output. The Brand destination charger is also similar to what Model owners may install at home to charge their car."
most_topics,9,2,"The Brand Model features the first charging system to switch seamlessly from 400 volt to 800 volt charging. That means in less than five minutes at an ultra-fast charger, you'll add nearly 70 miles of range. That's super-fast charging, saving you time and keeping you on the move."
most_topics,9,3,"With a Level 2 charger, your Brand Model electric vehicle will charge to 80% in approximately 2 hours and 50 minutes, and your Brand plug-in hybrid will charge to 100% in approximately two and a half hours. DC fast charging, sometimes referred to as Level 3, delivers direct current, or DC, to the battery to drastically reduce charging time. In fact, DC fast charging makes it possible to reach an 80% charge in your Model in approximately 36 minutes."
most_topics,10,1,"In fact, last month we established a new joint venture initiative with Hitachi Automotive Systems to develop and produce electric motors for electrified vehicles. This new venture will produce these motors right here in America. At the same time, we are studying ways in which we can advance the capabilities of our manufacturing plants to efficiently produce electrified vehicles in significant volumes."
most_topics,10,2,"In doing so, we're bringing electrified vehicles further into the mainstream by providing choices that meet the diverse needs of customers who are interested in advanced technology vehicles. The Model Series also heralds the advance of our Brand Electrification Initiative, representing our investment in the full spectrum of electric vehicle technologies."
most_topics,10,3,"In doing so, we're bringing electrified vehicles further into the mainstream by providing choices that meet the diverse needs of customers who are interested in advanced technology vehicles. The Model Series also heralds the advance of our Brand Electrification Initiative, representing our investment in the full spectrum of electric vehicle technologies."
most_topics,11,1,"Thank you. Thank you, Robin. So, as Robin mentioned, my name is Ian Kettle, and I was the lead exterior designer on the Brand Model."
most_topics,11,2,That's my car.
most_topics,11,3,"Thank you, Robin. So, as Robin mentioned, my name is Ian Kettle and I was the lead exterior designer on the Brand Model. Now, Robin mentioned that we looked at modern product design when doing the creative phase of this car."
most_topics,12,1,"And then we come to this stage. So we're at the start line, and I said, listen, I need to know what are we going to do at this jump. And he said, I don't know."
most_topics,12,2,"But what the outcome will be, I don't know. I said, what do you think? He said, I'm going to leave him to it."
most_topics,12,3,"What do you think? I don't know. So if you come to the museum and say, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know, I don't know."
most_topics,13,1,"The Model driver's assist systems enhance some of the previous generation's features and bring new ones as well. Adaptive Cruise Assist eases the stress of the road at normal highway speeds with active lane sensing, stop-and-go, and steering guidance. The Brand PreSense 360 system can help detect collision hazards around the car and can initiate specific preventive measures ranging from a full brake application to seat adjustments and pre-tensioning of the safety belts."
most_topics,13,2,"The Brand Model brings a host of driver assistance systems that are a first for the brand. Adaptive Cruise Assist eases the stress of the road at all normal highway speeds with active lane sensing, stop and go, and steering guidance. The Brand PreSense 360 safety system detects collision hazards all around the car and initiates specific preventive measures."
most_topics,13,3,"Adaptive Cruise Assist eases the stress of the road at normal highway speeds with active lane sensing, stop and go, and steering guidance. The Brand PreSense 360 system can help detect collision hazards around the car and can initiate specific preventive measures ranging from a full brake application to seat adjustments and pre-tensioning of the safety belts."
most_topics,14,1,"Since Model was first launched in China, we've sold 2.6 million Model across the Asia-Pacific region, most of them here in China. It competes in the largest segment in China. Remember, China is the world's largest automotive market, so it's such an important vehicle for us."
most_topics,14,2,"Look, obviously, Brand is at this stage still a US-centric brand. This is by far our strongest market. But as we are now beginning to set up a global footprint, probably starting also with us locating our global headquarters in Hong Kong, the Chinese market today is the world's largest car market and certainly no car company could imagine to be a strong player in the world markets if you aren't also there with a strong presence in China."
most_topics,14,3,"Those who got in early, like us, have benefited more than others. Brand, Brand, Brand, Brand and Brand are other brands with greater sales in China than here in the US. As we do in the US, we sell regional products for China that cater to the local market dynamics."
most_topics,15,1,"Okay, well, what about the seats? I mean, over here we have an 8-way power driver's seat with lumbar support that feels so nice. And heated seats, which, Gian, both come standard."
most_topics,15,2,"The seats, again, run the gamut of sportiness and elegance. They come standard as sport seats or optional as comfort seats or M multifunctional seats in a variety of upholstery designs in the vegan leather alternative Vaganza or Leather Marino. And the select seat upholstery, of course, matches the other upholstery and surface trims, including new open-pore wood finishes."
most_topics,15,3,"Model doesn't come up short on comfort offerings either, with standard three-zone automatic climate control, several available features like heated and ventilated front seats, heated second-row seats, and heated steering wheel, and even standard leather-trimmed seating on Limited and Platinum grades. Plus, XSE offers two unique interior choices, including a red and black two-tone leather-trimmed interior with red stitching."
most_topics,16,1,"When the charging station icon is displayed with a green box, this indicates that most or all of the stations at this location are available. When the charging station icon is displayed with a yellow box, this indicates that only some of the stations at this location are occupied. A red box indicates that all of the charging stations at this location are occupied, and a gray box means no information is available."
most_topics,16,2,"Naturally, Google Maps also offers a lot of useful information for an electric car, including range, estimated battery level when you reach your destination, and finding charging stations along your route. Hey Google, find charging stations nearby. There are two electric vehicle charging stations nearby."
most_topics,16,3,"From the Connected Drive menu, select Brand Online, then select Charging Stations. A list of stations with a map view will be displayed, as well as color-coded information to show real-time occupancy information, if available. A charging station icon with a green box indicates all stations are available."
most_topics,17,1,"Ladies and gentlemen, welcome to this new edition of Fleet Europe's Virtual Fleet Lounge. My name is Steven Schufs, Chief Editor of Fleet Europe. The Virtual Fleet Lounge is Fleet Europe's initiative to help fleet decision makers get the necessary insights into new car models, with a focus on car-fleet-related criteria like total cost of ownership, residual value, technology, and safety."
most_topics,17,2,"With Brand Motors Europe as our Virtual Fleet Lounge partner, we present today the all-new Brand Model range. And our guest is Mr. Mark Howlett, Fleet Sales Manager, Brand Motors Europe. He will explain why Brand can be a perfect choice for your corporate fleet program by presenting the all-new Brand Model range, composed among others of the Brand Model Sport Wagon and the Model PH EV, Brand 's first plug-in hybrid model."
most_topics,17,3,"Enjoy your Virtual Fleet Lounge. Good morning ladies and gentlemen, and welcome to this Brand Business Update and virtual fleet launch of the all-new Brand Model range. As many of you will, I'm sure, agree, the Brand brand has become a trusted brand in Europe, clearly demonstrated by the significant sales growth over recent years."
most_topics,18,1,"The effect of this is to have a car that can be defined in one line, but it also creates these beautifully scalloped sections, both front and rear. The other effect of this, by kicking the lines up here, is that we get rid of a conventional shoulder line, so we have a very full, beautiful, modern section through here, supported again by another scalloped shape down below, again speaking this youthful language."
most_topics,18,2,"The effect of this is to have a car that can be defined in one line, but it also creates these beautifully scalloped sections, both front and rear. The other effect of this, by kicking the lines up here, is that we get rid of a conventional shoulder line, so we have a very full, beautiful, modern section through here, supported again by another scallop shape down below, again speaking this youthful language."
most_topics,18,3,"The whole effect is both wider and lower, more sporty. The elegance, I think, comes across in the body side. There's only two lines, these two lines, that both go up towards the rear, that give the car more dynamic in side view, but also stretch the vehicle."
most_topics,19,1,"Along with space for living, the new EV platform maximises Model 5's space for cargo, with over 27 cubic feet of cargo behind the second row seats and more than 59 cubic feet with the seats folded down. The Model 5 is more versatile than any other SUV in its class. And feel free to explore our vehicle-to-load feature, a proper power plug for all of your devices."
most_topics,19,2,"TRD Off-Road and Woodland Edition further enhance Model 's versatility thanks to their standard raised roof rails, which also include crossbars on the ladder. Model 's interior is all about versatility and comfort. Behind the second row, this small SUV has up to 37.6 cubic feet of cargo space, which can expand up to 69.8 cubic feet with the standard 60-40 split fold-down rear seats dropped."
most_topics,19,3,"Likewise, a lift-back layout means Model is rated with up to 50.7 cubic feet of cargo space, the perfect storage setup for carpools and impromptu camping trips. The spacious cargo capacity is achieved thanks to the standard 60-40 split fold-down seat design, which provides ample room for your tent or snowboard. But if that's still not enough, the available cargo crossbars on Model offer even more storage and possibilities for your next weekend escape."
most_topics,20,1,"You can pick different display modes using the left side of the steering wheel. And if you swipe up, so available with Pinnacle Trim is the Head-Up Display functions. Now our second screen, this is our 11.9-inch portrait-oriented center display."
most_topics,20,2,"There are three distinct driver display modes: Calm, Navi, and Car Centric. Of course, essential driver information is shown in all modes, just like information about battery capacity and range. And the center display touchscreen is equally updated, with customizable tiles giving you even more intuitive and smoother control of the car's functions while driving."
most_topics,20,3,"There are three distinct driver display modes: Calm, Navi, and Car Centric. Of course, essential driver information is shown in all modes, just like information about battery capacity and range. And the center display touchscreen is equally updated, with customizable tiles giving you even more intuitive and smoother control of the car's functions while driving."
most_topics,21,1,"Available Blue Link connected car services provide the utmost convenience, allowing you to use simple voice commands to remotely start, set interior temperature, lock and unlock your car, turn on the lights, and a lot more. Destination search on the Blue Link mobile app is also super helpful, allowing you to quickly locate whatever it is you're looking for."
most_topics,21,2,"Available Blue Link connected car services provide the utmost convenience, allowing you to use simple voice commands to remotely start, set interior temperature, lock and unlock your car, turn on the lights, and a lot more. Destination search on the Blue Link mobile app is also super helpful, allowing you to quickly locate whatever it is you're looking for."
most_topics,21,3,"Available Blue Link connected car services with Amazon Alexa or Google Home integration gives you plenty of remote capabilities using simple voice commands. And now, get three years of complimentary services, including connected care, remote services, and guidance package on eligible trips. Destination search on the Blue Link mobile app is also super helpful, allowing you to quickly locate whatever it is you're looking for."
most_topics,22,1,"In 2020, Northpoint and Candy continue to expand our financing program relationship with a new asset-based lending solution that will benefit Candy America's working capital and allow them to acquire more Power Sports and Candy EV inventory. Northpoint is honored to have been selected by Candy as the preferred lender for Candy's EV dealer inventory financing programs."
most_topics,22,2,"Northpoint and Candy America are working together to identify new Candy EV dealers and to help establish a financially strong and stable Candy EV dealer network. We are excited to be partnering with the entire Candy America team as they premiere the Candy EV across North America. We look forward to a long, prosperous relationship and we're anxious to help them grow."
most_topics,22,3,It's a Candy. Sweet. Introducing the all-electric Candy K23.
most_topics,23,1,"I see it already three dimensional and then we try to bring the sketch, the feeling of the sketch, the emotion of the sketch into a 3D model and we are also doing it on clay and that is important, that we switch between clay and the computer to bring a feeling and love and you just can do it with your hands. As a designer, you're never finished and people have to pull you away from the project."
most_topics,23,2,"For me, modern product design was best exemplified by a number of science fiction movies I was watching during the sketching phase of this car. And in these science fiction movies, there's a lot of really beautiful kind of modern robotic design. And that led me down to a theme for this car when describing it."
most_topics,23,3,"Now, Robin mentioned that we looked at modern product design when doing the creative phase of this car. For me, modern product design was best exemplified by a number of science fiction movies I was watching during the sketching phase of this car. And in these science fiction movies, there's a lot of really beautiful kind of modern robotic design."
most_topics,24,1,"Now, if we talk just a little bit about the interior. Our interior team had the same kind of theme that we did where they wanted to create a new car, not just a scaled version of our 1960 cars."
most_topics,24,2,"The first of which is performance, mean and moody with hot accents. You then have tech looks, which uses lighter material combinations but a large volume of leather. And then we have vision, the interior we have in the car right here, using very modern, fresh combinations of both colours and materials, but it still maintains that very sporty, dynamic feel."
most_topics,24,3,"You then have tech looks, which uses lighter material combinations but a large volume of leather. And then we have vision, the interior we have in the car right here, using very modern, fresh combinations of both colours and materials, but it still maintains that very sporty, dynamic feel. Our high-level objectives for the Model programme, we had to start with a clean sheet of paper to design and develop what we're calling MCLA, the Brand Carbon Lightweight Architecture."
most_topics,25,1,"Every grade comes standard with Brand Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
most_topics,25,2,"That's why every grade comes standard with Brand Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
most_topics,25,3,"That's why every grade comes standard with Brand Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
most_topics,26,1,"So, on top of the steel base, we built a carbon fiber body, and by doing so, we gained three amazing advantages. Number one, weight reduction. 230 kilos less by building carbon fiber and modifying the SPA underbody."
most_topics,26,2,"It doesn't have that traditional weave everyone is familiar with when they think about carbon fiber. Because of a new manufacturing process, Brand has managed to actually reduce the cost of mass producing carbon fiber. And as an added interesting note, the carbon fiber material used in the Model is made in the USA at a facility which only uses hydropower."
most_topics,26,3,"So everything is aerodynamically efficient, of course weight savings in mind everywhere, ultra stiff while saving weight. So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels. So the structure in the door is actually carbon."
most_topics,27,1,"There are several ways you can charge your Brand Model at home. Brand recommends Level 2 charging using the wall-mounted Brand i charging station designed to complement your Brand i-vehicle, which reduces charging time for the Brand Model to around three and a half hours. Now this station and other Level 2 home charging stations charge your Brand Model at 240 volts from the convenience of your own home."
most_topics,27,2,"Starting in Spring 2023, you can connect to and pay for charging at ChargePoint charging stations directly from the MyMazda app. If you choose to charge your Brand plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging. However, your plug-in hybrid cannot be charged by a Level 3 DC fast charging station."
most_topics,27,3,"There are several ways to charge your Brand Model 's high voltage battery, giving you a variety of convenient home and public charging options. Level 2 charging from a Level 2 home or public charging station, Level 1 charging from the occasional use cable, which comes with every Brand Model vehicle, or DC charging from a DC charging station. Let's take a closer look at each of these."
most_topics,28,1,"Now I love and I cherish our long history thinking of all the cars that we've created and I take that all into consideration when I say with complete confidence that this is our best car ever. It's the most innovative, the most dynamic and exciting car that we at Brand have ever built. So, ladies and gentlemen in the room, and all of you that have been watching online, thank you very much for joining us today."
most_topics,28,2,"Looking at this great view, it's hard to imagine that it all started out as one man's dream, his true passion. From the Brand Family Garage here to MTC, the Brand Technology Centre in the heart of England, it's fair to say we've come a long way. This is where it all started, Bruce's first race-winning car."
most_topics,28,3,"Looking at this great view, it's hard to imagine that it all started out as one man's dream, his true passion. From the Brand Family Garage here to MTC, the Brand Technology Centre in the heart of England, it's fair to say we've come a long way. This is where it all started, Bruce's first race-winning car."
most_topics,29,1,"Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert are designed to bring added peace of mind behind the wheel, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to assist drivers when maneuvering in tight spaces. Finally, the available Advanced Park System makes parallel parking as easy as pushing a button, enhancing Model 's futuristic feel even further."
most_topics,29,2,"Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces. The 2025 Model Plug-in Hybrid combines energetic performance, advanced tech, and practical details to create an impressive drive."
most_topics,29,3,"Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces."
most_topics,30,1,"This is further enhanced by the Nightshade models, which amplifies Model 's style with black-painted exterior accents and 18-inch alloy wheels that add a nice dose of eye-catching flair to complement its aggressive style. For an even sportier vibe, the XSE grade distinguishes itself with a specific front fascia featuring a black-painted mesh front grille, dual-tip exhaust, and black-painted 20-inch alloy wheels."
most_topics,30,2,"The all-new Hybrid Woodland Edition arrives for 2023 adorned with raised black roof rails and crossbars, mudguards, black accent batching, and distinct 18-inch bronze-colored TRD alloy wheels. Meanwhile, gas-powered Model XLE Premium and Limited models come standard with 19-inch Superchrome alloy wheels, while Adventure sports 19-inch matte grey alloy wheels, and TRT Offroad offers its own aggressive flair through matte black alloy wheels. Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels."
most_topics,30,3,"Both XLE and Hybrid XLE take this up a notch with 18-inch machine-finish alloy wheels, while the Bronze Edition comes equipped with grade-exclusive 18-inch bronze-finish alloy wheels. For extra stance and style, XSE features 20-inch machined-face black alloy wheels. Not to be outdone, Limited grades come equipped with 20-inch chrome-finished alloy wheels for an added layer of high-end detail."
most_topics,31,1,"And future products, like the Brand Model, are tangible proof that General Motors is committed to developing advanced technology, capable of delivering viable solutions to the challenges facing this industry. Over the past three days, we've shown you some of the new General Motors. A revitalized organization with a passion for design and a focus on technology."
most_topics,31,2,"And we're doing it the Brand way, with balanced sales of award-winning cars and trucks brought to market the Brand way. That means a focus on retail business and a disciplined approach to marketing that aims at long-term sustainable growth while protecting the value of our brand and our products in the hands of our customers."
most_topics,31,3,"And we're doing it the Brand way, with balanced sales of award-winning cars and trucks brought to market the Brand way. That means a focus on retail business and a disciplined approach to marketing that aims at long-term sustainable growth while protecting the value of our brand and our products in the hands of our customers."
most_topics,32,1,"i-Pedal 3.0 allows you to speed up, slow down, or even come to a complete stop, all just using the accelerator pedal. It also captures energy that would normally be lost when braking, helping to maximize efficiency. And now, i-Pedal 3.0 works in reverse."
most_topics,32,2,"You know, certainly brake pedal is for use to stopping, and we always encourage customers to use the brake pedal to stop. But when the traffic dictates and when they want to slow down just slightly, a little bit more than just coasting, they can enable this regen on demand and essentially do what we call one-pedal driving. When is the Model going to go on sale?"
most_topics,32,3,"Press the accelerator pedal and you surge forward, experiencing the instantaneous torque that only the advanced electric drive powertrain of eDrive can deliver. E-Drive technology also has the advantage of one-pedal driving. Release the accelerator pedal and feel the instant braking effect of brake energy recuperation."
most_topics,33,1,"As a space-saving feature, the lithium-ion battery is neatly tucked away in the energy space under the cabin floor. This keeps the vehicle's center of gravity low, which makes for a superior driving experience. And thanks to the built-in battery warmer, there's no need to worry about the battery freezing in cold weather."
most_topics,33,2,"The Model 's lithium-ion battery pack is encased in a sealed aluminum shell that is fully integrated into the underbody of the vehicle. The battery consists of eight separate modules, each consisting of 12 lithium-ion cells. Each of the eight modules weighs approximately 55 pounds for easy shipping and storage."
most_topics,33,3,"Here you are breaking away with lithium iron. Yeah, it's the same family of chemistry in the lithium chemistry, but we're using lithium iron instead of lithium ion or lithium ion phosphate. So we give up a little bit of power density, but it's a much safer battery pack."
most_topics,34,1,"But we're going to show you what the Auto Show looks like the day before the show. Let's take a look at that video. Hi, I'm Kristin Burt for Brand Motor America, and we're at the 2015 Los Angeles Auto Show in downtown LA."
most_topics,34,2,"Direct from the Cobo Hall in Detroit, The Auto Channel presents exclusive press pass coverage of the 2009 North American International Auto Show. Ladies and gentlemen, please welcome Brand Motor Sales Group Vice President, Environmental and Public Affairs, Irv Miller. Thank you."
most_topics,34,3,This might be one of the biggest press conferences we have seen all year long. Remember we joined you guys in Los Angeles as well as Detroit and of course here for the final show of the season here in New York. This will wrap up the 2015-16 Auto Show season.
most_topics,35,1,"Let's go. Don't say that. Sound, sound, sound."
most_topics,35,2,"You might hear that there's a completely different noise right now. And you can adjust how loud that noise is. And now if I hit performance mode, it makes a completely different noise."
most_topics,35,3,There is both an audible noise outside the car as well as inside. And it's interesting. It's a noise that's meant to sound like an AMG while not trying to sound like an internal combustion engine.
most_topics,36,1,"We have a very new interpretation of the typical Brand face, double round headlamps and kidney shape grille. The lamps are now attached to the grille. The grille is more three-dimensional."
most_topics,36,2,"You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance. Plus, you get a more aerodynamic design helping to improve fuel efficiency and adding highway speed driving stability."
most_topics,36,3,"The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood. Similar to the show cars from the last few years, the V-Motion grille is dominant and sets up the big rearward movement of the design itself, drawing your eyes from this wonderful hood through the cabin and off the rear of the car."
