selection_label,topic,words,weighted_words
most_topics,34,"auto, detroit, season, auto season, channel, 2015, la, los angeles, los, angeles","[[""auto"", 0.07799409150117605], [""detroit"", 0.057688106033007315], [""season"", 0.032002355728744485], [""auto season"", 0.03092818004305572], [""channel"", 0.026184132661187107], [""2015"", 0.026032434397589403], [""la"", 0.025207102503154246], [""los angeles"", 0.024836506035427853], [""los"", 0.024836506035427853], [""angeles"", 0.024656875658777767]]"
most_topics,35,"sound, noise, quiet, hear, wind, whisper, engine, car, like, silence","[[""sound"", 0.0610967563612857], [""noise"", 0.056339723221999705], [""quiet"", 0.049012626763966984], [""hear"", 0.033318448869650796], [""wind"", 0.02812512185410511], [""whisper"", 0.022250234315627865], [""engine"", 0.019611383686830273], [""car"", 0.017596776252538443], [""like"", 0.017049142403816758], [""silence"", 0.016245846994940485]]"
most_topics,36,"grille, hood, design, led, look, new, single frame, signature, headlights, grill","[[""grille"", 0.0790742832850078], [""hood"", 0.0316138593986007], [""design"", 0.02585449152780745], [""led"", 0.024600952709820184], [""look"", 0.02367545944523715], [""new"", 0.022991419262291098], [""single frame"", 0.02191817129503937], [""signature"", 0.021683534883628126], [""headlights"", 0.020455653143249677], [""grill"", 0.02035742296286489]]"
most_topics,37,"model, 2025, platform, new, egmp, brand, design, electric, parametric, global modular","[[""model"", 0.023493065253000957], [""2025"", 0.018736968310714676], [""platform"", 0.017641541837101742], [""new"", 0.016668186606368644], [""egmp"", 0.01571249227350018], [""brand"", 0.015090293564527596], [""design"", 0.015019102751357814], [""electric"", 0.014679679389935611], [""parametric"", 0.013903845796434115], [""global modular"", 0.013467850520143007]]"
most_topics,38,"gt, model gt, gt3, racing, racetrack, performance, model, race, race car, car","[[""gt"", 0.05658722403932269], [""model gt"", 0.034252702189733066], [""gt3"", 0.032520410792262505], [""racing"", 0.029774903984771905], [""racetrack"", 0.022197720661804712], [""performance"", 0.021572138486228163], [""model"", 0.021303306446327372], [""race"", 0.019911587680663256], [""race car"", 0.01768707785941612], [""car"", 0.014061460207243871]]"
most_topics,39,"wheel drive, wheel, drive, torque, traction, horsepower, grades, quattro, motor, rear","[[""wheel drive"", 0.09946749821090801], [""wheel"", 0.07484011603268442], [""drive"", 0.06283027901997494], [""torque"", 0.036759043073904415], [""traction"", 0.029923046331823314], [""horsepower"", 0.02463311688127164], [""grades"", 0.019849380800675765], [""quattro"", 0.019521247029026467], [""motor"", 0.017818143697229304], [""rear"", 0.017503659787850206]]"
most_topics,40,"warranty, 000, 000 mile, mile, whichever comes, whichever, year, 000 miles, 100 000, roadside","[[""warranty"", 0.0953230616657509], [""000"", 0.08483712465749879], [""000 mile"", 0.06927603460832321], [""mile"", 0.06140718727170857], [""whichever comes"", 0.060603256468516574], [""whichever"", 0.05971522636980479], [""year"", 0.05513933775104933], [""000 miles"", 0.05169254967644764], [""100 000"", 0.045176973003803265], [""roadside"", 0.044415403426459436]]"
most_topics,41,"ev, model ev, ev9, evs, brand, new, model, electric, brand model, world","[[""ev"", 0.07999502315255448], [""model ev"", 0.037011586282893034], [""ev9"", 0.028221677631318248], [""evs"", 0.020877336016967035], [""brand"", 0.02078070113107589], [""new"", 0.019550691036377486], [""model"", 0.01895374318041784], [""electric"", 0.01731669262808715], [""brand model"", 0.014721357101874943], [""world"", 0.013408422648456656]]"
most_topics,42,"amg, brand amg, wheel, gt, amg model, performance, sl, steering wheel, steering, buttons","[[""amg"", 0.13526469587272283], [""brand amg"", 0.03844075568552148], [""wheel"", 0.022382790391370484], [""gt"", 0.020189210818495385], [""amg model"", 0.02014573751389945], [""performance"", 0.01971834571244584], [""sl"", 0.018683506971375094], [""steering wheel"", 0.018250018593651406], [""steering"", 0.017872361389671403], [""buttons"", 0.017319664055175526]]"
most_topics,43,"class, brand class, new class, new, brand, new brand, luxury, customers, class brand, car","[[""class"", 0.14589368215426962], [""brand class"", 0.09300917564872759], [""new class"", 0.05772781167189528], [""new"", 0.03397835518987334], [""brand"", 0.02927674369822707], [""new brand"", 0.025192746349604972], [""luxury"", 0.02269511007964329], [""customers"", 0.01662954301489672], [""class brand"", 0.014642357745709166], [""car"", 0.013896031263629238]]"
most_topics,44,"drive, test, test drive, let, want, let drive, yeah, fun, time, think","[[""drive"", 0.06577879100359182], [""test"", 0.06474771261411202], [""test drive"", 0.05371787608137603], [""let"", 0.04070368614829984], [""want"", 0.033304004541518654], [""let drive"", 0.02827552708967927], [""yeah"", 0.027646688952879972], [""fun"", 0.023631324130268673], [""time"", 0.023433699877118942], [""think"", 0.02194067560143997]]"
most_topics,45,"steering, rear axle, axle steering, wheel, axle, feel, steering wheel, rear, radius, turning radius","[[""steering"", 0.09695968617662075], [""rear axle"", 0.03300620865352354], [""axle steering"", 0.03268336716089645], [""wheel"", 0.03147414965408803], [""axle"", 0.029946273087913183], [""feel"", 0.02862910728781591], [""steering wheel"", 0.02856015041094971], [""rear"", 0.02852463682363505], [""radius"", 0.025901982943765594], [""turning radius"", 0.02442074485985257]]"
most_topics,46,"president, welcome, vice president, vice, gentlemen welcome, ladies gentlemen, ladies, gentlemen, good, good morning","[[""president"", 0.08861446378620508], [""welcome"", 0.0720801599223843], [""vice president"", 0.06740800814725066], [""vice"", 0.0651727079384186], [""gentlemen welcome"", 0.06100443762729326], [""ladies gentlemen"", 0.05947928891086119], [""ladies"", 0.05938527894417228], [""gentlemen"", 0.05919889120809737], [""good"", 0.04210431926092872], [""good morning"", 0.04160380559292539]]"
most_topics,47,"key, digital key, digital, connect, unlock, brand digital, smartphone, compatible, fob, start","[[""key"", 0.08919028641713858], [""digital key"", 0.06695862773788887], [""digital"", 0.05393104250581367], [""connect"", 0.04245775444138252], [""unlock"", 0.03794132182525546], [""brand digital"", 0.03275364469073414], [""smartphone"", 0.0324691305259801], [""compatible"", 0.029904624448377694], [""fob"", 0.02306696013769444], [""start"", 0.021520649268445068]]"
most_topics,48,"mode, sport, mode comfort, comfort mode, tnga, comfort, drive, sport plus, sport mode, power","[[""mode"", 0.07007103504597888], [""sport"", 0.04813855167537332], [""mode comfort"", 0.04177553746427419], [""comfort mode"", 0.04031005433909382], [""tnga"", 0.03834417186780862], [""comfort"", 0.03501350540471188], [""drive"", 0.02390045830141925], [""sport plus"", 0.02174461958784205], [""sport mode"", 0.02052796495586714], [""power"", 0.020506610128003262]]"
most_topics,49,"co2, climate, emissions, zero, climate change, sustainable, future, environment, change, want","[[""co2"", 0.05509058605437312], [""climate"", 0.041438116363340584], [""emissions"", 0.03252150419622748], [""zero"", 0.0313363032630807], [""climate change"", 0.025763144899928387], [""sustainable"", 0.02432266848175947], [""future"", 0.024240349890302347], [""environment"", 0.02337720996280424], [""change"", 0.021932646882410492], [""want"", 0.021524922049116515]]"
most_topics,50,"stage, join, invite, thank, photo, photographers, like invite, photos, mr, closer look","[[""stage"", 0.0695126229013096], [""join"", 0.0662142176960168], [""invite"", 0.06340796032261722], [""thank"", 0.05828338144562577], [""photo"", 0.047723037934627593], [""photographers"", 0.04323163044249434], [""like invite"", 0.03187167380655902], [""photos"", 0.03159600865245413], [""mr"", 0.03142478119742422], [""closer look"", 0.026485687078406726]]"
most_topics,51,"wheels, inch, 20 inch, 20, 21, wheel, 17, inch wheels, alloy, 21 inch","[[""wheels"", 0.07553291401268648], [""inch"", 0.059161732794513255], [""20 inch"", 0.04306486579976766], [""20"", 0.04008873038921787], [""21"", 0.03116647343631566], [""wheel"", 0.027817393190526517], [""17"", 0.02748182043179723], [""inch wheels"", 0.02748182043179723], [""alloy"", 0.024135093364395302], [""21 inch"", 0.023654433927449387]]"
most_topics,52,"suspension, ride, comfort, steering, air suspension, air, performance, driving, handling, chassis","[[""suspension"", 0.07325646255142876], [""ride"", 0.025548341920364728], [""comfort"", 0.023247088214740967], [""steering"", 0.021998552962141846], [""air suspension"", 0.02006823796375712], [""air"", 0.019888617590662853], [""performance"", 0.0192143197100206], [""driving"", 0.01881804610724796], [""handling"", 0.01658737554960279], [""chassis"", 0.01607159913098433]]"
most_topics,53,"truck, comfortable, feel, car, like, felt, does feel, texas, best, driving","[[""truck"", 0.042702252206351904], [""comfortable"", 0.04201106522547202], [""feel"", 0.03798690718048781], [""car"", 0.024831816430605065], [""like"", 0.021155344306707836], [""felt"", 0.02109338926333259], [""does feel"", 0.020915896493304057], [""texas"", 0.02004822540653421], [""best"", 0.01934199539545398], [""driving"", 0.018181659671897027]]"
most_topics,54,"sports car, sports, brand, electric, design, electric crossover, crossover, car, brand model, model","[[""sports car"", 0.045813726359090146], [""sports"", 0.041497610409351376], [""brand"", 0.027718423073321438], [""electric"", 0.02731358655313772], [""design"", 0.023437851769881803], [""electric crossover"", 0.0231525025688061], [""crossover"", 0.020642036011142735], [""car"", 0.02024415379321244], [""brand model"", 0.020091661749923988], [""model"", 0.019228204203791694]]"
most_topics,55,"display, hyperscreen, cockpit, screen, inch, mbux, screens, 12 inch, displays, 12","[[""display"", 0.06919922293459195], [""hyperscreen"", 0.048346543119074124], [""cockpit"", 0.047130506172775206], [""screen"", 0.040831585799201375], [""inch"", 0.03157009409518189], [""mbux"", 0.03041128952635838], [""screens"", 0.028833871068420537], [""12 inch"", 0.028181245504304647], [""displays"", 0.02799158113924568], [""12"", 0.02700998202333186]]"
most_topics,56,"drive, driving, racetrack, love, racing, want, ve driving, really, crest, like","[[""drive"", 0.056682706114206255], [""driving"", 0.04199246694217319], [""racetrack"", 0.031219526763158176], [""love"", 0.028485361405063345], [""racing"", 0.026920478631467137], [""want"", 0.02459882463265634], [""ve driving"", 0.023495307383645664], [""really"", 0.023402062415667477], [""crest"", 0.022964989322967165], [""like"", 0.02241834993695905]]"
best_balance,-1,"model, brand, car, new, just, like, vehicle, really, design, drive","[[""model"", 0.015075854653040581], [""brand"", 0.014587440154310691], [""car"", 0.012277746700879145], [""new"", 0.011909988452210914], [""just"", 0.010364600528330221], [""like"", 0.0096139709103167], [""vehicle"", 0.008587223735948453], [""really"", 0.00805456533093867], [""design"", 0.007805189108894167], [""drive"", 0.007519060309928629]]"
best_balance,0,"seats, interior, seat, space, leather, rear, heated, inside, cargo, model","[[""seats"", 0.03527499764627278], [""interior"", 0.03039588359700627], [""seat"", 0.028310815484649955], [""space"", 0.019966818334569748], [""leather"", 0.017639809288841866], [""rear"", 0.014446624793512382], [""heated"", 0.013948331883092822], [""inside"", 0.012878945597348078], [""cargo"", 0.01264033979700934], [""model"", 0.01222689486840175]]"
best_balance,1,"brand, new, brand brand, market, year, customers, product, cars, welcome, sales","[[""brand"", 0.040525299810228045], [""new"", 0.017324081080833748], [""brand brand"", 0.015307599372048319], [""market"", 0.014261961114522406], [""year"", 0.014207687580012621], [""customers"", 0.013979596707286475], [""product"", 0.013731579831872202], [""cars"", 0.01293415224565716], [""welcome"", 0.012931539224899697], [""sales"", 0.012750911304596055]]"
best_balance,2,"assist, safety, lane, spot, alert, parking, blind, collision, blind spot, traffic","[[""assist"", 0.04341833446512515], [""safety"", 0.036086122471255956], [""lane"", 0.029984706379590307], [""spot"", 0.02213932678472938], [""alert"", 0.02203161265228411], [""parking"", 0.021766162287647682], [""blind"", 0.020903831949938455], [""collision"", 0.020520491979066476], [""blind spot"", 0.020373278689479885], [""traffic"", 0.020245144022077867]]"
best_balance,3,"grille, rear, led, light, design, headlights, look, car, lights, new","[[""grille"", 0.028669188836717718], [""rear"", 0.025601718147031764], [""led"", 0.02473290238679072], [""light"", 0.024244509381599326], [""design"", 0.022354026369998815], [""headlights"", 0.020284683604919244], [""look"", 0.018237004396244632], [""car"", 0.018145505191963774], [""lights"", 0.017248412910592724], [""new"", 0.016276233379874598]]"
best_balance,4,"electric, ev, brand, vehicles, electric car, model, electrification, electric vehicle, new, electrified","[[""electric"", 0.050318626905635856], [""ev"", 0.029194367663693908], [""brand"", 0.02208118885821362], [""vehicles"", 0.021060794458744505], [""electric car"", 0.018077855001879375], [""model"", 0.017403177329871882], [""electrification"", 0.01645933304054396], [""electric vehicle"", 0.015653059062563514], [""new"", 0.015543315565403597], [""electrified"", 0.014533654886990958]]"
best_balance,5,"drive, don, know, right, let, yeah, going, don know, want, car","[[""drive"", 0.039789026917647366], [""don"", 0.026662348243071746], [""know"", 0.025741334575336023], [""right"", 0.025133917520849404], [""let"", 0.024610445361340546], [""yeah"", 0.024098267624440922], [""going"", 0.023585005894435348], [""don know"", 0.023489685161397503], [""want"", 0.022230798227954672], [""car"", 0.022014992520676267]]"
