Topic,Count,Name,LLM,KeyBERT,POS,MMR,LLM_Status,LLM_Model,Prompt_Status,Prompt
9,290,9_sonata_hyundai_kia_hyundai sonata,,"sonata, hyundai, kia, toyota, car, vehicles, new, design, quality","new, warranty, fleet, safety, best, limited, better","sonata, hyundai, kia, new, warranty, 2020, fleet, optima, safety",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 9
Keywords: 9_sonata_hyundai_kia_hyundai sonata
Representative snippets:
- Introducing the 2018 Hyundai Sonata. Newly redesigned, it's our best Sonata ever.
- I had a really great time, and I can't wait to jump behind the wheel of one of these vehicles, hopefully very soon. The 2018 Hyundai Sonata, our best Sonata ever.
- But it's not just about looks, is it? When it comes to performance, the 2020 Hyundai Sonata comes standard.
- With more than 120 industry accolades, it's the most awarded vehicle in the segment, including multiple JD Power Initial Quality Awards, a better IQS score than Honda or Toyota for three years running, and holding the IHS Award for Owner Loyalty for the last 14 straight years.
- And when you're the most awarded vehicle in the entire category, you don't settle for anything but more.
- Hey everyone I'm Jesse and I'm Gian. Jesse and I are both Hyundai product specialists and this is a special head-to-head edition of Hyundai showroom walk around.

Topic label:
"
10,257,10_audi_tron_q5_a7,,"audi, car, vehicle, suv, a6, electric, a7, a3, a4, a8","tron, quattro, new, electric, design, car, luxury, signature","audi, q5, a7, a3, a8, quattro, a6, electric",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 10
Keywords: 10_audi_tron_q5_a7
Representative snippets:
- Doing them right when the time is right. And the time is right for electric to go Audi.
- This car should have something which no other Audi is going to have.
- So there's a first time for everything to be done the Audi way.
- Hello and welcome. My name is Filip Brabeck and today we are introducing the new 2012 Audi A6.
- Now already by looking at the car you can see that the car introduces a lot of new design features and design language that Audi is bringing forward.
- Two-thirds, one-third proportion of window to the body is typical to Audi.

Topic label:
"
11,189,11_elantra_elr_new elantra_hyundai,,"elantra, hyundai, elr, sedan, hybrid, cadillac, car, 2021, compact, safety","new, generation, brand, compact, safety, features, design, segment, sedan","elantra, elr, hyundai, genesis, generation, brand, compact, safety, design",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 11
Keywords: 11_elantra_elr_new elantra_hyundai
Representative snippets:
- I cannot wait for you to drive the all-new Elantra. Thank you.
- But let's just say it'll be the most powerful Elantra ever. You know, it's such a huge story with the Elantra and so much excitement around the brand.
- And they work just as well for our all-new Elantra at ground level.
- We already sell the LaCrosse HEV in that market and will reveal the Velite 5 E-Rev there next week.
- I'm Cebu Cera and I'm here with the brand new Cadillac ELR.
- The ELR is Cadillac's first plug-in hybrid. Chevrolet already sells a plug-in hybrid called the Volt, and the ELR uses the technology from the Volt, but it's a little more powerful and looks completely different.

Topic label:
"
12,187,12_hour_range_kilometers_seconds,,"speed, kilometers, kilometer, km, fast, seconds, range, hour","hour, range, kilometers, seconds, electric, speed, battery, km","range, kilometers, seconds, electric, speed, 60, battery, km",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 12
Keywords: 12_hour_range_kilometers_seconds
Representative snippets:
- That is more than a 3.5 kilometers per hour speed. Correct.
- With a 6.6, you can get 20 miles of range within one hour.
- And even the base Model 3 will do 0 to 60 miles an hour or 0 to 100 kilometers an hour in less than six seconds.
- The A3 e-tron can run on electric-only power for an EPA-estimated 16 miles, suitable for urban commutes.
- At the speed range between 55 kilometers an hour and 160 kilometers an hour, we will shut down the engine every time the customer takes off his food from the accelerator.
- In Europe, the results are in. The new and rather strict WLTP numbers give the e-tron a range of well over 400 kilometers.

Topic label:
"
13,178,13_nissan_leaf_nissan leaf_new nissan,,"nissanusa, nissan, leaf, ev, vehicle, car, sedans, mobility, plant, autonomous","nissan, leaf, new, intelligent, mobility, technology, world, technologies","nissan, leaf, altima, intelligent, ev, sentra, mobility, technology, nissanusa, driving",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 13
Keywords: 13_nissan_leaf_nissan leaf_new nissan
Representative snippets:
- While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company.
- He will talk about the expectations of the new Nissan LEAF and explain what Nissan Intelligent Mobility is all about.
- ProPILOT and ePEDAL in the new Nissan Leaf are great examples of Nissan Intelligent Driving.
- This plant, you may or may not know, was a 2011 JD Power Platinum Award winner.
- So there are very, very few plants anywhere in the world that can achieve that level of significance.
- It works like a treat and we're very happy to have that Mexican plant.

Topic label:
"
14,154,14_polestar_electric_car_brand,,"polestar, brand, volvo, electric, design, performance, customers, customer","electric, car, brand, performance, customer, pure, cars, production, heart, space","polestar, electric, car, brand, volvo, performance, customer",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 14
Keywords: 14_polestar_electric_car_brand
Representative snippets:
- Polestar stands for pure, progressive performance. And this is our first product, Polestar 1.
- Now, looking at the lineup of Polestar 1, Polestar 2 and Polestar 3, you get a very good idea of the scope of our brand.
- Polestar. So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute.
- This is our own blend of star power here, of course with the three-pointed star.
- Ladies and gentlemen, good evening and welcome to Shanghai. Welcome to the launch of the new Polestar brand.
- This car will be built in Chengdu, here in China, the Polestar cars.

Topic label:
"
15,151,15_nsx_acura_nx_supercar,,"nsx, acura, nx, cx, rx, supercar, ilx, rlx, lexus, vehicle","supercar, new, standard, brand, performance, driver, unique, features","nsx, acura, nx, supercar, standard, cx, brand, performance, driver, ilx",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 15
Keywords: 15_nsx_acura_nx_supercar
Representative snippets:
- I led a team of young engineers developing the body of a new supercar that would become the Acura NSX.
- So while we created this NSX concept for our customers, you might see NSX on the racetrack as well.
- here, the all-new Acura NSX. NSX Global Development Leader, Ted Klaus. Morning everyone, it's been my honor to lead development for this new Acura supercar, the next generation NSX.
- Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling.
- Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist roa
- Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid.

Topic label:
"
16,150,16_infiniti_q50_infinity_brand,,"q50, infiniti, q60, sedan, luxury, hybrid, brand, premium, infinity, performance","infinity, new, brand, performance, market, design, future, look","infiniti, q50, infinity, new, brand, performance, market, johan, globally",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 16
Keywords: 16_infiniti_q50_infinity_brand
Representative snippets:
- The Q50 is the latest premium performance sedan from Infiniti. The Q50 is longer, lower, and wider than Infiniti's previous G37 sedan, and it has world's first advances for the luxury market.
- Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50.
- So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50.
- So here in the cockpit of the 2020 Q7 you'll notice that the entire dashboard has been redesigned so you have your dual touch screen set up the same that we see in the A6 and A7 so much like a smartphone you can swipe left and right on the top screen to see your different icons you could also press and hold on any of these different icons to drag and drop and move them around to your liking
- I want to say thank you for taking time out of your day to take a look at the 2020 Q7 with us.
- And now it's time for the next game changer. It is the start of a new era and it's an Atron full stop.

Topic label:
"
17,149,17_battery_lithium_temperature_cold,,"batteries, battery, lithium, cell, cells, thermal, cooling, enclosure, laptop, ion","battery, temperature, lithium, cold, batteries, cooling, pack, ion, cells, iron","battery, temperature, lithium, cold, batteries, cooling, pack, ion, winter",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 17
Keywords: 17_battery_lithium_temperature_cold
Representative snippets:
- Through the center of the car, we have a dominant center console, which houses the lithium ion battery pack, which is very large, and therefore the chassis is specifically designed to house this battery pack.
- Okay, so we're looking up on the underside of the battery pack.
- cars you know the battery race continues here you are breaking away with lithium iron yeah it's the same family of chemistry in the lithium chemistry but we're using lithium iron instead of lithium ion or lithium ion phosphate so we give up a little bit of power density but it's a much safer battery pack we don't have runaway thermal issues if you'll remember a few years ago there were laptop computers that were catc
- On an electric car, there's a large area which is smooth and flush anyway, because it's under shield of the battery and for the rest, so under the axles, we have designed nice covers which are equally flush to the battery underside.
- From the beginning of the project we took a lot of effort to make a really good cooling of the machines.
- We have cooling water of course around the stator, also rotor internal cooling and bearing plate cooling.

Topic label:
"
18,128,18_hybrid_plug_plug hybrid_hybrids,,"hybrid, hybrids, electrification, powertrain, plug, car, vehicle, volkswagen, sedan, electric","hybrid, plug, hybrids, electric, fuel, car, technology","hybrid, plug, hybrids, electric, jetta, fuel, car",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 18
Keywords: 18_hybrid_plug_plug hybrid_hybrids
Representative snippets:
- At the same time though, let's not forget it's still a plug-in hybrid.
- No, I have to tell you the plug-in hybrid, whether it's the Sonata plug-in hybrid that we just launched a few months ago or the IONIQ plug-in hybrid, it gives you the best of everything.
- So the most progressive sports car of the world was a plug-in hybrid or is a plug-in hybrid.
- Let's start here with Acura's first hybrid. It's a 1.5-liter hybrid system with a CVT transmission. What's this one over here?
- We plan to offer more than 20 new models until 2025. Some will be plug-in hybrids, and half of them will be fully electric.
- We will also be launching further plug-in hybrids during the course of 2020.

Topic label:
"
