topic,keywords,representative_snippets,prompt_hash,prompt_system,prompt_user,prompt_json
10,"kia, ev6, ev, india, ev9, new kia, new, hyundai, ev4, customers","EV6 is more than just a new electric vehicle from Kia. It's a messenger for this brand's future. || When you drive an EV6, you will not just be driving one of Kia's most inventive designs. || We truly believe that the Kia EV6 is an embodiment of the new Kia. || And I can tell you, all model variants will meet the Euro 6D emission standard. || The E6 offers generous storage space with 580 liters of storage capacity. || The E6 also features a Dragonheart center console control panel, which allows the driver to operate the vehicle without taking their eyes off the road, improving safety.",0f8fff5db9ed6a86,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 10
Keywords: kia, ev6, ev, india, ev9, new kia, new, hyundai, ev4, customers
Representative snippets:
- EV6 is more than just a new electric vehicle from Kia. It's a messenger for this brand's future.
- When you drive an EV6, you will not just be driving one of Kia's most inventive designs.
- We truly believe that the Kia EV6 is an embodiment of the new Kia.
- And I can tell you, all model variants will meet the Euro 6D emission standard.
- The E6 offers generous storage space with 580 liters of storage capacity.
- The E6 also features a Dragonheart center console control panel, which allows the driver to operate the vehicle without taking their eyes off the road, improving safety.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 10\nKeywords: kia, ev6, ev, india, ev9, new kia, new, hyundai, ev4, customers\nRepresentative snippets:\n- EV6 is more than just a new electric vehicle from Kia. It's a messenger for this brand's future.\n- When you drive an EV6, you will not just be driving one of Kia's most inventive designs.\n- We truly believe that the Kia EV6 is an embodiment of the new Kia.\n- And I can tell you, all model variants will meet the Euro 6D emission standard.\n- The E6 offers generous storage space with 580 liters of storage capacity.\n- The E6 also features a Dragonheart center console control panel, which allows the driver to operate the vehicle without taking their eyes off the road, improving safety.\n\nTopic label:""}]"
11,"amg, eqs, eqe, mercedes, gt, eq, sl, new, new eqs, amg gt","The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. || Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made. || I'm about to spend the day with the new EQS by Mercedes EQ. || The e-tron GT interior is defined by two aspects, sportiness and also comfort. || I did many cars with my team but the e-tron GT is by far the most attractive car I designed in my career. || This highly emotional coupe is set to delight customers who desire progressive design combined with advanced driving performance.",c6f7cf787048e77b,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 11
Keywords: amg, eqs, eqe, mercedes, gt, eq, sl, new, new eqs, amg gt
Representative snippets:
- The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement.
- Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made.
- I'm about to spend the day with the new EQS by Mercedes EQ.
- The e-tron GT interior is defined by two aspects, sportiness and also comfort.
- I did many cars with my team but the e-tron GT is by far the most attractive car I designed in my career.
- This highly emotional coupe is set to delight customers who desire progressive design combined with advanced driving performance.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 11\nKeywords: amg, eqs, eqe, mercedes, gt, eq, sl, new, new eqs, amg gt\nRepresentative snippets:\n- The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement.\n- Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made.\n- I'm about to spend the day with the new EQS by Mercedes EQ.\n- The e-tron GT interior is defined by two aspects, sportiness and also comfort.\n- I did many cars with my team but the e-tron GT is by far the most attractive car I designed in my career.\n- This highly emotional coupe is set to delight customers who desire progressive design combined with advanced driving performance.\n\nTopic label:""}]"
12,"sound, audio, jbl, speaker, premium, premium audio, speakers, speaker jbl, experience, 11","For an immersive listening experience, the available 9-speaker JBL premium audio system pumps out tunes in high fidelity. || This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity. || For an immersive listening experience, the available 11-speaker JBL Premium Audio System offers stunning clarity. || The rhythm is completely different. It's a bit like an acceleration. It's telling you you're going to feel something special. || And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall. || Thanks to a bigger distance to the engine, the temperature window for exhaust gas processing is extended and that means emissions can, with continuously high exhaust temperatures, for example if you drive swiftly over the motorway, can be best reduced.",29034f3a13d9122e,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 12
Keywords: sound, audio, jbl, speaker, premium, premium audio, speakers, speaker jbl, experience, 11
Representative snippets:
- For an immersive listening experience, the available 9-speaker JBL premium audio system pumps out tunes in high fidelity.
- This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity.
- For an immersive listening experience, the available 11-speaker JBL Premium Audio System offers stunning clarity.
- The rhythm is completely different. It's a bit like an acceleration. It's telling you you're going to feel something special.
- And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall.
- Thanks to a bigger distance to the engine, the temperature window for exhaust gas processing is extended and that means emissions can, with continuously high exhaust temperatures, for example if you drive swiftly over the motorway, can be best reduced.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 12\nKeywords: sound, audio, jbl, speaker, premium, premium audio, speakers, speaker jbl, experience, 11\nRepresentative snippets:\n- For an immersive listening experience, the available 9-speaker JBL premium audio system pumps out tunes in high fidelity.\n- This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity.\n- For an immersive listening experience, the available 11-speaker JBL Premium Audio System offers stunning clarity.\n- The rhythm is completely different. It's a bit like an acceleration. It's telling you you're going to feel something special.\n- And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall.\n- Thanks to a bigger distance to the engine, the temperature window for exhaust gas processing is extended and that means emissions can, with continuously high exhaust temperatures, for example if you drive swiftly over the motorway, can be best reduced.\n\nTopic label:""}]"
13,"ioniq, hyundai, charging, new, electric, fast, ultra fast, blue link, platform, egmp","IONIQ 5 Limited has a range of 256 miles with all-wheel drive. || We are thrilled to introduce you to Hyundai's first ever IONIQ 5. || Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. || In 2025, the all-new Charger will also be available as a six-pack with the twin-turbo Hurricane. || And as you see, we are working on it, 30,000 fast chargers starting this year. || And wireless device charging is right here, which, Gian, is going to come in your Sonata SEL when you have the convenience package.",0b6f41d570672b0b,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 13
Keywords: ioniq, hyundai, charging, new, electric, fast, ultra fast, blue link, platform, egmp
Representative snippets:
- IONIQ 5 Limited has a range of 256 miles with all-wheel drive.
- We are thrilled to introduce you to Hyundai's first ever IONIQ 5.
- Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5.
- In 2025, the all-new Charger will also be available as a six-pack with the twin-turbo Hurricane.
- And as you see, we are working on it, 30,000 fast chargers starting this year.
- And wireless device charging is right here, which, Gian, is going to come in your Sonata SEL when you have the convenience package.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 13\nKeywords: ioniq, hyundai, charging, new, electric, fast, ultra fast, blue link, platform, egmp\nRepresentative snippets:\n- IONIQ 5 Limited has a range of 256 miles with all-wheel drive.\n- We are thrilled to introduce you to Hyundai's first ever IONIQ 5.\n- Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5.\n- In 2025, the all-new Charger will also be available as a six-pack with the twin-turbo Hurricane.\n- And as you see, we are working on it, 30,000 fast chargers starting this year.\n- And wireless device charging is right here, which, Gian, is going to come in your Sonata SEL when you have the convenience package.\n\nTopic label:""}]"
14,"class, mercedes, benz, mercedes benz, benz class, new mercedes, new, new class, coupe, luxury","It's designed just like a love child between a Mercedes-Benz G-Class and a Mercedes-Benz GLS. || Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz. || Why is that so? Why is the Mercedes-Benz S-Class so special to you? || Yeah, we changed the Hofmeister kink for this car, so the coupes should look different. || so Coupe doesn't have this one. Okay. So this line this lies on the Swiss spots for technique and the design for both. || A very precise, compact coupe with amazing dimensions. When we look at the already very sporty 3 Series.",812669b3cac26546,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 14
Keywords: class, mercedes, benz, mercedes benz, benz class, new mercedes, new, new class, coupe, luxury
Representative snippets:
- It's designed just like a love child between a Mercedes-Benz G-Class and a Mercedes-Benz GLS.
- Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz.
- Why is that so? Why is the Mercedes-Benz S-Class so special to you?
- Yeah, we changed the Hofmeister kink for this car, so the coupes should look different.
- so Coupe doesn't have this one. Okay. So this line this lies on the Swiss spots for technique and the design for both.
- A very precise, compact coupe with amazing dimensions. When we look at the already very sporty 3 Series.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 14\nKeywords: class, mercedes, benz, mercedes benz, benz class, new mercedes, new, new class, coupe, luxury\nRepresentative snippets:\n- It's designed just like a love child between a Mercedes-Benz G-Class and a Mercedes-Benz GLS.\n- Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz.\n- Why is that so? Why is the Mercedes-Benz S-Class so special to you?\n- Yeah, we changed the Hofmeister kink for this car, so the coupes should look different.\n- so Coupe doesn't have this one. Okay. So this line this lies on the Swiss spots for technique and the design for both.\n- A very precise, compact coupe with amazing dimensions. When we look at the already very sporty 3 Series.\n\nTopic label:""}]"
15,"elantra, sonata, accord, camry, hyundai, hybrid, sonata hybrid, new elantra, new, elantra hybrid","And the Hybrid Limited, which is the other Elantra we have here. || Now, if you like the sporty design on our Sonata Hybrid Limited, then you're going to love the even sportier design on our Sonata N-Line. || Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them. || That is a very important pillar. So I will switch to Seungmo. || Wow, you can really choose how bold you want to be when it comes to the side of the vehicle. || So the C2 becomes the Nevada. Everybody at Rimac hopes that the Navera will live up to its name.",e9020a2b01816bfb,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 15
Keywords: elantra, sonata, accord, camry, hyundai, hybrid, sonata hybrid, new elantra, new, elantra hybrid
Representative snippets:
- And the Hybrid Limited, which is the other Elantra we have here.
- Now, if you like the sporty design on our Sonata Hybrid Limited, then you're going to love the even sportier design on our Sonata N-Line.
- Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them.
- That is a very important pillar. So I will switch to Seungmo.
- Wow, you can really choose how bold you want to be when it comes to the side of the vehicle.
- So the C2 becomes the Nevada. Everybody at Rimac hopes that the Navera will live up to its name.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 15\nKeywords: elantra, sonata, accord, camry, hyundai, hybrid, sonata hybrid, new elantra, new, elantra hybrid\nRepresentative snippets:\n- And the Hybrid Limited, which is the other Elantra we have here.\n- Now, if you like the sporty design on our Sonata Hybrid Limited, then you're going to love the even sportier design on our Sonata N-Line.\n- Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them.\n- That is a very important pillar. So I will switch to Seungmo.\n- Wow, you can really choose how bold you want to be when it comes to the side of the vehicle.\n- So the C2 becomes the Nevada. Everybody at Rimac hopes that the Navera will live up to its name.\n\nTopic label:""}]"
16,"corolla, safety, assist, toyota, safety sense, toyota safety, lane, sense, pre collision, detection","Every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. || But Corolla's ingenuity reaches beyond the audio multimedia experience. Every Corolla grade comes standard with Toyota Safety Sense 3.0. which includes pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, road sign assist, and proactive driving assist. || Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. || and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more. || Camry also offers available safety features like Blind Spot Monitor with Rear Cross-Traffic Alert, as well as Intelligent Clearance Sonar with Rear Cross-Traffic Braking on XLE and XSE models. || This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA.",3d0ad0f2b8933e03,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 16
Keywords: corolla, safety, assist, toyota, safety sense, toyota safety, lane, sense, pre collision, detection
Representative snippets:
- Every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist.
- But Corolla's ingenuity reaches beyond the audio multimedia experience. Every Corolla grade comes standard with Toyota Safety Sense 3.0. which includes pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, road sign assist, and proactive driving assist.
- Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist.
- and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more.
- Camry also offers available safety features like Blind Spot Monitor with Rear Cross-Traffic Alert, as well as Intelligent Clearance Sonar with Rear Cross-Traffic Braking on XLE and XSE models.
- This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 16\nKeywords: corolla, safety, assist, toyota, safety sense, toyota safety, lane, sense, pre collision, detection\nRepresentative snippets:\n- Every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist.\n- But Corolla's ingenuity reaches beyond the audio multimedia experience. Every Corolla grade comes standard with Toyota Safety Sense 3.0. which includes pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, road sign assist, and proactive driving assist.\n- Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist.\n- and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more.\n- Camry also offers available safety features like Blind Spot Monitor with Rear Cross-Traffic Alert, as well as Intelligent Clearance Sonar with Rear Cross-Traffic Braking on XLE and XSE models.\n- This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA.\n\nTopic label:""}]"
17,"prius, prius prime, prime, hybrid, toyota, connect, efficiency, plug, plug hybrid, prius plug","Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime. || Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. || And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime. || More than 20 years ago, the Toyota Prius changed the automotive landscape when it introduced the world to modern hybrid technology. || In the years since it first hit the stage, Prius has grown through four generations, as well as the release of multiple related models. || Most recently, the addition of the Prius Primeline rounds out the Prius family by offering a plug-in hybrid variant that allows for all-electric driving for up to 25 miles.",41cef8b324c54064,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 17
Keywords: prius, prius prime, prime, hybrid, toyota, connect, efficiency, plug, plug hybrid, prius plug
Representative snippets:
- Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime.
- Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius.
- And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.
- More than 20 years ago, the Toyota Prius changed the automotive landscape when it introduced the world to modern hybrid technology.
- In the years since it first hit the stage, Prius has grown through four generations, as well as the release of multiple related models.
- Most recently, the addition of the Prius Primeline rounds out the Prius family by offering a plug-in hybrid variant that allows for all-electric driving for up to 25 miles.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 17\nKeywords: prius, prius prime, prime, hybrid, toyota, connect, efficiency, plug, plug hybrid, prius plug\nRepresentative snippets:\n- Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime.\n- Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius.\n- And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.\n- More than 20 years ago, the Toyota Prius changed the automotive landscape when it introduced the world to modern hybrid technology.\n- In the years since it first hit the stage, Prius has grown through four generations, as well as the release of multiple related models.\n- Most recently, the addition of the Prius Primeline rounds out the Prius family by offering a plug-in hybrid variant that allows for all-electric driving for up to 25 miles.\n\nTopic label:""}]"
18,"rav4, rav4 prime, prime, hybrid, trd, available, plug hybrid, road, plug, toyota","And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more. || Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime. || RAV4 features a standard 7-inch touchscreen display to control Toyota's Audio Multimedia system, while RAV4 Prime XSE, TRD Off-Road, Hybrid XSE, and Limited all come standard with a 9-inch Audio Multimedia touchscreen, which is the largest ever for RAV4. || Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more. || cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life. || We have the Trofeo version that is more linked to the performance side, so more audacious.",09f1cb2f687bf430,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 18
Keywords: rav4, rav4 prime, prime, hybrid, trd, available, plug hybrid, road, plug, toyota
Representative snippets:
- And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more.
- Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.
- RAV4 features a standard 7-inch touchscreen display to control Toyota's Audio Multimedia system, while RAV4 Prime XSE, TRD Off-Road, Hybrid XSE, and Limited all come standard with a 9-inch Audio Multimedia touchscreen, which is the largest ever for RAV4.
- Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more.
- cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life.
- We have the Trofeo version that is more linked to the performance side, so more audacious.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 18\nKeywords: rav4, rav4 prime, prime, hybrid, trd, available, plug hybrid, road, plug, toyota\nRepresentative snippets:\n- And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more.\n- Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.\n- RAV4 features a standard 7-inch touchscreen display to control Toyota's Audio Multimedia system, while RAV4 Prime XSE, TRD Off-Road, Hybrid XSE, and Limited all come standard with a 9-inch Audio Multimedia touchscreen, which is the largest ever for RAV4.\n- Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more.\n- cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life.\n- We have the Trofeo version that is more linked to the performance side, so more audacious.\n\nTopic label:""}]"
19,"pedal, mode, braking, regenerative braking, regenerative, brakes, brake, drive, accelerator, modes","Yes, that's a great question. So a lot of times when I'm in traffic and I'm in one pedal driving mode and maybe a car in front of me starts to slow down a little bit more than I anticipated, I can reach up and grab the regen on demand paddle and get the maximum amount of regenerative braking available. || So in any one of these drive experiences, you can drive in one pedal or in two pedal drive. || i-Pedal 3.0 allows you to speed up, slow down, or even come to a complete stop, all just using the accelerator pedal. || Energy recuperation is an EV feature we now know well, but Audi takes a different approach to one-pedal driving. || Drive it like a normal car, no adjustments needed. Audi uses intelligence through map data and front-facing cameras to maximize the amount of coasting possible before engaging recuperation when the brake pedal is pressed or slowing traffic is detected. || This is more efficient than always engaging maximum recuperation. Paddles on the steering wheel allow you to manually choose three different levels of recuperation to suit your drive style.",529cbe7af792369d,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 19
Keywords: pedal, mode, braking, regenerative braking, regenerative, brakes, brake, drive, accelerator, modes
Representative snippets:
- Yes, that's a great question. So a lot of times when I'm in traffic and I'm in one pedal driving mode and maybe a car in front of me starts to slow down a little bit more than I anticipated, I can reach up and grab the regen on demand paddle and get the maximum amount of regenerative braking available.
- So in any one of these drive experiences, you can drive in one pedal or in two pedal drive.
- i-Pedal 3.0 allows you to speed up, slow down, or even come to a complete stop, all just using the accelerator pedal.
- Energy recuperation is an EV feature we now know well, but Audi takes a different approach to one-pedal driving.
- Drive it like a normal car, no adjustments needed. Audi uses intelligence through map data and front-facing cameras to maximize the amount of coasting possible before engaging recuperation when the brake pedal is pressed or slowing traffic is detected.
- This is more efficient than always engaging maximum recuperation. Paddles on the steering wheel allow you to manually choose three different levels of recuperation to suit your drive style.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 19\nKeywords: pedal, mode, braking, regenerative braking, regenerative, brakes, brake, drive, accelerator, modes\nRepresentative snippets:\n- Yes, that's a great question. So a lot of times when I'm in traffic and I'm in one pedal driving mode and maybe a car in front of me starts to slow down a little bit more than I anticipated, I can reach up and grab the regen on demand paddle and get the maximum amount of regenerative braking available.\n- So in any one of these drive experiences, you can drive in one pedal or in two pedal drive.\n- i-Pedal 3.0 allows you to speed up, slow down, or even come to a complete stop, all just using the accelerator pedal.\n- Energy recuperation is an EV feature we now know well, but Audi takes a different approach to one-pedal driving.\n- Drive it like a normal car, no adjustments needed. Audi uses intelligence through map data and front-facing cameras to maximize the amount of coasting possible before engaging recuperation when the brake pedal is pressed or slowing traffic is detected.\n- This is more efficient than always engaging maximum recuperation. Paddles on the steering wheel allow you to manually choose three different levels of recuperation to suit your drive style.\n\nTopic label:""}]"
