Topic,Count,Name,LLM,KeyBERT,POS,MMR
15,185,15_display_screen_touchscreen_12,,"displays, screens, display, screen, touchscreen, dashboard, interface, driver, controls, panel","display, screen, touchscreen, cluster, digital, instrument, information, interface, center","screen, touchscreen, digital, instrument, interface, displays, curved, gauge, driver"
16,185,16_ioniq_hyundai_blue link_charging,,"ioniq, hyundai, ev, vehicle, sonata, electric, car, modular, interior, egmp","charging, new, electric, assist, platform, space, safety, features, avoidance","ioniq, hyundai, charging, electric, blue, assist, platform, egmp, space, safety"
17,162,17_prius_prius prime_prime_hybrid,,"prius, prime, toyota, hybrid, innovative, efficiency, convenience, performance, standard, drive","hybrid, plug, efficiency, efficient, drive, available, convenience, lineup","prius, prime, hybrid, toyota, plug, efficiency, drive, le, estimated"
18,153,18_key_digital key_digital_unlock,,"hyundai, smartphone, key, fob, car, unlock, pressing, keys, button, lock","key, digital, button, smartphone, fob, door, vehicle, smart, car, app","digital, button, unlock, smartphone, fob, door, lock, hyundai, access, remote"
19,153,19_hybrid_plug_plug hybrid_bmw,,"hybrid, bmw, hybrids, plug, sedan, toyota, car, powertrain, charging, electric","hybrid, plug, powertrain, electric, new, hybrids, charging, technology, models, improved","hybrid, plug, bmw, powertrain, electric, hybrids, charging, edrive, models, improved"
20,140,20_corolla_safety_assist_safety sense,,"toyota, safety, corolla, steering, lane, hybrid, drivers, radar, detection, alerts","safety, assist, lane, collision, detection, pedestrian, tracing, departure, pre, sign","corolla, safety, lane, toyota, collision, detection, pedestrian, radar, airbags, steering"
21,136,21_mustang_mach_mustang mach_mustangs,,"mustang, mustangs, ford, mach, suv, vehicle, vehicles, car, electric, pony","mustang, mustangs, vehicle, proportions, electric, new","mustang, mach, mustangs, vehicle, proportions"
22,127,22_design_designers_designer_art,,"designs, designers, design, designer, engineering, theme, presentation, art, sketch, technology","design, designers, designer, art, story, new, signature, different, life","design, designers, designer, art, story, new"
23,126,23_carplay_apple_apple carplay_android,,"smartphone, carplay, iphone, android, mobile, apps, devices, wirelessly, apple, app","music, smartphone, phone, apps, maps, wireless, messages, hotspot, favorite, standard","carplay, android, music, smartphone, apps, maps, wireless, messages, hotspot, connects"
24,125,24_pedal_braking_brakes_regenerative braking,,"pedal, braking, driving, drive, brake, brakes, shifters, drives, drivers, steering","pedal, braking, brakes, drive, regenerative, brake, accelerator, paddle, regen","pedal, braking, brakes, regenerative, brake, accelerator, paddle, mode, driving"
25,116,25_sound_sounds_quiet_exhaust,,"acoustic, audio, soundbar, sound, speakers, sounding, surround, exhaust, noise, exhausts","sound, sounds, quiet, exhaust, noise, car, inside, silent, surround","sound, quiet, exhaust, noise, car, inside, silent, surround"
26,112,26_crown_toyota crown_toyota_japan,,"crown, toyota, flagship, electrified, powertrain, performance, vehicle, platinum, drive, driving","crown, performance, generation, sedan, story, new, chief, development, experience","crown, toyota, platinum, performance, generation, sedan, development, flagship, electrified"
27,110,27_audi_tron_q8_q5,,"audi, quattro, suv, a6, vehicle, car, a7, a8, tron, q5","tron, quattro, new, sportback, design, past, light, versatility, car","audi, tron, q5, quattro, a6, suv, 2019, rs, a4, sportback"
28,107,28_america_auto evolution_pre_evolution,,"northpoint, northpointe, ev, promotional, partnership, dealers, cars","electric, pre, evolution, inventory, orders, order, affordable","america, northpoint, electric, pre, evolution, inventory, order, affordable, vehicles"
29,107,29_porsche_taycan_turbo_car,,"porsche, taycan, car, cars, turbo, zuffenhausen, driving, thing, macan, 4s","turbo, car, sports, electric, new, sound, design, beautiful","porsche, taycan, turbo, car, sports, electric, zuffenhausen, alex"
30,105,30_19_20_18_21,,"tires, standard, size, 19","black, available, exhaust, standard","spoke, 17, exhaust, standard, awd, forged, grille"
