topic,rank,representative_text
3,2,"But we're going to show you what the Auto Show looks like the day before the show. Let's take a look at that video. Hi, I'm Kristin Burt for Hyundai Motor America and we're at the 2015 Los Angeles Auto Show in downtown LA."
3,3,"Hello, everyone, and thank you for joining us this afternoon. I know it's been a long day. It's great to be kicking off yet another auto show season right here in Los Angeles."
3,4,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
3,5,"Hey, Tyson. Hey, Lee. How you doing?"
3,6,Doing great. How are you? Good.
4,1,"Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. And to me, it's the perfect example of Hyundai's electric innovations. Let's start by taking a look at an exterior design that's unlike anything Hyundai has put on the road before."
4,2,"As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation."
4,3,"Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric."
4,4,"Hello everyone, we are here at the New York International Auto Show. My name is Peter Chaney, product information specialist for Hyundai, and I am here with John Shun who is going to talk to us more about the IONIQ lineup. So John, can you break down this vehicle that might be here?"
4,5,"Yes, this is the IONIQ Hybrid. It is the first of three IONIQ models that will be launched very shortly. The IONIQ Hybrid is currently available for sale in all 50 states."
4,6,"Also here, you see 17-inch alloy wheel design that is an uto-stoke alloy wheel. So even the wheel design itself helps the coefficient of drag and overall dynamics, which of course helps the vehicle's class-leading fuel competition. The 2017 IONIQ lighter vehicle has all the latest advanced active safety features."
5,1,The 2018 Hyundai Sonata.
5,2,"The 2018 Hyundai Sonata, our best Sonata ever."
5,3,"The 2018 Hyundai Sonata, our best Sonata ever."
5,4,"I think it's the best track I've ever been in Abu Dhabi. So modern and it's in another level, compared to the normal tracks. It has been hard because 12 hours is a lot, especially very hot on the inside of the car."
5,5,But what we might not realize is that Camry and Accord never recovered. They saw further sales and share losses more than a year before the 2011 earthquake in tsunami. Camry sales in 2010 dipped 31% in their 2007 fee.
5,6,"Accord sales dropped 28% during the same period. And this slide has continued. Even with triple digits, then it increases in incentive spending."
6,1,"He will talk about the expectations of the new Nissan LEAF and explain what Nissan Intelligent Mobility is all about. Ladies and gentlemen, good morning and welcome. Let me start by making one thing clear."
6,2,"The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward."
6,3,It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV.
6,4,"So we have these on the doors, the roof and most importantly that beautiful rear clamp body panel. The beauty of having super-formed panels means that it allows us to have undisturbed design, but also it means we can use less panels on the car, which of course reduces the weight even further. And I'm asking what the McLaren Altura will be like to drive compared to the other McLarens."
6,5,"Hi, Dean Bowman, your Nissan Insider. Today we're going to show you the Nissan LEAF. And while obviously I'll go through some of the unique features that go into owning an electric car, I also want to showcase some of the versatility and spaciousness you'll find inside."
6,6,"In addition, there's some really cool technologies and conveniences that will make your everyday drive fun. LEAF's aerodynamic design has a really low drag coefficient. The result has two benefits."
7,1,"In 10 years from now, we will talk about e-tron the same we talk about Quattro. It will be in the heart, in the essence, in the DNA of Audi. I think at Audi we are obsessed with making things perfect."
7,2,"Doing them right when the time is right. And the time is right for electric to go Audi. I assure you, with the Audi e-tron you won't miss a thing."
7,3,The Audi Q8 e-tron SUV and Sportback.
7,4,Hello and welcome. My name is Filip Brabeck and today we are introducing the new 2012 Audi A6. Now already by looking at the car you can see that the car introduces a lot of new design features and design language that Audi is bringing forward.
7,5,"The shoulder is broader and it's also more powerful. It sticks out with a very strong indented line, which again communicates that powerful look. Two-thirds, one-third proportion of window to the body is typical to Audi."
7,6,So overall a great story for driving dynamics as well as the performance of the new Audi A6.
8,1,That's a lot more. The 2018 Hyundai Elantra.
8,2,"But let's just say it'll be the most powerful Elantra ever. You know, it's such a huge story with the Elantra and so much excitement around the brand. Congratulations."
8,3,"This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. Now, the Elantra won't be available on dealership lots until late fall this year."
8,4,"Mikaela, any changes to the material? No, no changes to the sheet metal with this model. But yes, the other parts have been greatly reworked."
8,5,"I'm Cebu Cera and I'm here with the brand new Cadillac ELR. The ELR is Cadillac's first plug-in hybrid. Chevrolet already sells a plug-in hybrid called the Volt, and the ELR uses the technology from the Volt, but it's a little more powerful and looks completely different."
8,6,"We're going to talk to some of the people who can tell us about those differences. I'm here with Chris Thomasson, the ELR chief engineer, and he can tell us all about this hardware. Now, I know what we have under the hood here is very similar to what's in the Chevy Volt, so describe this hardware for me."
9,1,You should let me drive the car. How was his driving? The car is incredible.
9,2,Can I drive it? I just want to drive it. Really?
9,3,When do I get to drive it? How about right now?
9,4,Maybe we can get you behind the wheel of one of these cars. All right.
9,5,"Okay, yeah, sounds good. They're not gonna let me drive it, but I really, really wanna drive it. Oh, look at that heat exchange here."
9,6,"Back is so long, man. We're here at golden hour. Buddy Jason from Engineering Explained."
10,1,"Polestar stands for pure, progressive performance. And this is our first product, Polestar 1."
10,2,"Bye-bye, Dumbo. Next, let me show you around inside Polestar 2. Now, how do we get in?"
10,3,"So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. But there's another reason why this is a truly exciting day for us here today, because Polestar 2 is our first pure electric Polestar, a true battery electric car. Now, Polestar is dedicated to electric mobility."
10,4,"We decided that we use prismatic cells and pouch cells. So prismatic ones are like little boxes and then you have also the other version that are called pouch, that are little pouch bags we call it. We had to find solutions to bring these different kind of cell formats into the battery that we are flexible and can use both of them."
10,5,"In this case, we have to go to the lab in Germany and with one extract we have to use a leaf balm. So we have to do a short process and then a long process and then we have to do it again. You can see the whole area here, the batteries and so on, all of them are recycled."
10,6,"So it's a really good moment now to cross way over the world on the other side to Shanghai and see how our launch of Focus has been unfolding there in just the last few hours. Let's take a look. Hi Jim, hi Steve, hello there everybody."
11,1,"And when operating as a hybrid, Prius Prime's EPA-estimated rating of up to 52 miles per gallon combined ensures that the fuel stops are few, allowing the adventures to go on even longer. Boasting a flowing silhouette and a striking front fascia accentuated by standard LED exterior lighting, Prius Prime makes a bold statement. Additionally, standard 17-inch alloy wheels and available 19-inch wheels enhance Prius Prime's sporty appearance while hinting at its athletic performance."
11,2,"Prius 3 Touring, Prius 4, and Prius 4 Touring add soft text-trimmed front seats. Prius 4 and Prius 4 Touring also add heated front seats for added comfort and a touch of elegance, as well as an 8-way power driver's seat with power lumbar support. Always quick to demonstrate its versatility, Prius's 60-40 split fold-down rear seats incorporate a fold-down center armrest for added comfort and convenience."
11,3,"Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. The latest Prius generation offers six distinct takes on the hybrid experience. First, L-Eco boasts the best fuel efficiency of the entire Prius lineup, while also having the lowest starting price."
11,4,"Set for a spring 2009 release, the 2010 Honda Insight Hybrid hopes to answer the fuel-efficient gauntlet thrown down by Toyota. The Insight is Honda's response to the Toyota Prius, and like the Prius, is expected to receive over 40 miles per gallon for both city and highway driving. The Insight uses a complete gas-electric hybrid system and features a 1.3-liter, 98-horsepower, 4-cylinder engine and is paired to an electric motor."
11,5,"So critically important car for us, and it's very, very competitive. It looks great, it drives great, it's got better range and better fuel economy than our competitor Prius. So we're really excited about it."
11,6,"There you go. Perfect. Can't have too much on our hands, but you know, this is a very competitive market and I want you to know you're going head to head with the Prius."
12,1,Technology. Ever wonder who's in command? In an Infiniti Q50 there's no question.
12,2,"Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50. If the Q50 name is new to you, you can be assured it's not going to be unfamiliar for long. The Q50 is the latest premium performance sedan from Infiniti."
12,3,"So today, the Q50 has yet again moved forward to the next level, becoming even better and more advanced. So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50."
12,4,So most commonly you see this used for your heated steering wheel or your garage door opener once you have that program. I want to say thank you for taking time out of your day to take a look at the 2020 Q7 with us. And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.
12,5,"I don't want to open my mouth, but this is one of the most important roles. As I said before, when you look at the auto-toucoups, you can see the brakes and the glims, the orange and the black, you know what I mean? That is one of the things I really like about Captain Future."
12,6,"While Nissan has already had a hybrid on the market for a few years in the U.S., their upmarket Infiniti brand didn't have an alternative fuel vehicle of their own. But that all changes with the introduction of the 2012 Infiniti M35H."
13,1,"So now it's time to take a closer look at what it's like actually living with the Mustang Mach-E. And over to my first guest, he is the Mustang Mach-E product manager for Europe, a fellow EV enthusiast, and someone who's been very fortunate to actually live with the Mustang Mach-E prototype for a while now. Stefan Tiniman, welcome, so good to see you. Hello, Nikki."
13,2,"And, you know, the other thing is, is that once we knew we were really able to deliver Mustang performance, then the let's say the excitement, the enthusiasm around delivering our first all electric vehicle as a Mustang just got turned to 11. what we first called Mustang-inspired proposals, but these actually became very quickly the Mustang Mach-E proposals."
13,3,I got my first Mustang before I could even drive. My Mustang is everything to me. I grew up in Vietnam and my first image of a Mustang was everything that I thought was great about America.
13,4,"So thank you for this bloodline of ingenuity, for this brotherhood, for writing the source code for these cars, because it's not yet time for your legacy to go. It's go time for the next generation of Dodge muscle."
13,5,Driven Hall here today. You can see the latest and greatest as we talked about before the latest Ram Allegiance. We've just seen the spec 5 Mustang.
13,6,"And welcome to From Behind the Wheel. My name is Nikki Shields, and we are absolutely thrilled that you're joining us virtually from all around Europe. And no doubt, just like me, you're probably extremely eager to have a detailed look at the exciting, the all new, all electric Ford Mustang Mach-E. Well, I've got some good news, and I think we all need a bit of that right now, don't we?"
14,1,My name is Amanda Stretton and today we've got something very special for you. So join me as I get to spend the day with the new EQE by Mercedes EQ. The EQE is the latest all electric business saloon by Mercedes EQ with its cutting edge exterior design and truly pioneering levels of engineering.
14,2,"So EQE, newest member of Mercedes EQ. Walking up to it, it's a familiar design language. Yeah, the EQS and the EQE share a lot of the same design signatures that make it true to the Mercedes EQ family."
14,3,The all electric EQE.
14,4,"What an emotion! The very first Cinque Chateau just landed and I'm about to take it for a spin on America's electric corridor between LA and Vegas. This is the all-new, all-electric 500E."
14,5,The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. My name is Nick and I'm here to meet Brian to see the all-new Mercedes-Benz AMG EQS. Hey Nick.
14,6,"That looked like fun. Yeah, it's an absolute blast. So what do you think of the EQS 580?"
15,1,"And we are all very proud of it. And now, to share some of the engineering advances, please welcome the Vice President of Corporate Product Planning at Hyundai Motor America, Mike O'Brien. Thank you, Peter."
15,2,"Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone."
15,3,"We've assembled the right group of people here to help make today newsworthy and productive for you, including key members of our executive team. Joining us are Michael Simcoe, Vice President of GM Global Design, Helen Emsley, Executive Director of Global Buick and GMC Design, Mark Royce, Executive Vice President of GM Global Product Development, And Alan Beattie, President of GM North America, will also be joining us shortly."
15,4,Thank you for being with us. Now Mr. Ito will be available for a few quick photos then please join us and the rest of the Acura team on stage for a closer look at the future of Acura.
15,5,We're at the right location. This is the right place. This is also the biggest Sam & Nico brand integration we've ever had.
15,6,"Ladies and gentlemen, Executive Vice President of the Acura Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the Acura brand."
16,1,"This is the all-new 12th generation Toyota Corolla. Building on over 50 years of sales in the US, the 2020 Corolla sedan joins Corolla hatchback as one of the latest vehicles to be enhanced by the Toyota New Global Architecture, or TNGA. This new platform helps enhance Corolla's fun-to-drive charisma, while still maintaining the model's legendary value and dependability."
16,2,"When these advanced features are considered, it's clear that Corolla is a seriously high-tech compact. Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
16,3,"Well you do! but it's fun to have that back out there and you know there's just not that many offering them anymore but you can get one in a Corolla and just like we made Corolla hatchback greater than ever we're doing the same with the all-new Corolla sedan but before we unveil this car I want to share some important features that you're not going to see when we pull back the silks and they're all focused on safety the new Corolla comes standard with second generation Toyota Safety Sense or TSS Okay, I know."
16,4,"Classic trim names return for 2020, including the modern L, LE, and XLE, and the sporty SE and XSE grades, while a Corolla Hybrid makes a big debut with the Hybrid LE grade. And more than ever before, Corolla's different flavors mean genuinely different vehicles, with three distinct personalities, features, and specifications for each trim line. Let's take a closer look at some details."
16,5,"Outside, the 2020 Corolla stands out with not just its bold new character lines, but also a host of details unique to each model. These include a range of stylish wheels, including eye-grabbing 18-inch alloy wheels on sport grades, and unique front and rear styling and trim accents that help to further differentiate the various members of the Corolla family."
16,6,"For the SE and XSE grades, these include integrated dark gray accents on the 18-inch alloy wheels, as well as the front, rear, and side rocker panels. Regardless of trim, all Corolla models also include standard LED exterior lighting, including headlights, taillights, and daytime running lights. These powerful new looks go hand in hand with the performance to match."
17,1,"The cargo cover can then be placed inside like this. Next, remove the cover attached to the tailgate. Place your hands around the lower edge of the cover and pull to unclip."
17,2,"For convenient and easy access to both front and rear, The i3 doors are designed to open outward with no obstructions to the passenger compartment. To open the rear door, pull the handle here. Always close the rear door first."
17,3,"Once at the hood, reach in and press the tab to release the locking mechanism and open the hood. The tailgate on the i3 can be opened from both inside and outside the vehicle. To open the tailgate from inside, press the button in the driver's footwell."
17,4,So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person. You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.
17,5,And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.
17,6,"To do this, first you must remove the cover behind the rear seats. Place your hands in the recessed grips on the bottom of the cover and push upwards until the cover comes free. Next, open the floor compartment by pulling upward on the handle."
18,1,"Toyota Crown sets the bar for premium sedans. With its distinct lift-up appearance and an all-hybrid electric powertrain lineup, this icon redefines the sedan. Available in four grades with standard all-wheel drive, XLE, Limited, the new Nightshade Edition, and Platinum, the 2025 Toyota Crown wraps upscale appointments, comfort, and performance into a striking package."
18,2,"Toyota Crown sets the bar for premium sedans. With its distinct lift-up appearance and an all-hybrid electric powertrain lineup, this icon redefines the sedan across all fronts. Available in three grades, XLE, Limited, and Platinum, all of which come standard with all-wheel drive, Toyota Crown emphasizes upscale appointments, comfort, and performance wrapped in an eye-catching package unlike anything else."
18,3,"Take all of these factors together and it's clear that Toyota Crown is a leader, an electrified flagship packed with style, performance, and technology. Discover Toyota Crown today at toyota.com."
18,4,"Hello, everyone. Even though we are here today to spotlight the launch of a new model, we arranged 15 generations of the crown for you to see on the way in. Some of you may have wondered why."
18,5,"Let me begin by telling you a crown story woven by successive chief engineers. The crown's origin can be traced back to Toyota's founding era. 90 years ago, our founder Keiichiro Toyoda decided to take on the challenge of entering the automobile business."
18,6,"Driving the ambitious dream was his philosophy of enriching the lives of the Japanese people by creating a passenger car for the masses. Production of Toyota's longed-for domestic passenger car finally began in January 1952, 15 years after the company's founding. It was Ketro himself who named the vehicle Crown."
19,1,"It also packs intuitive technologies that keep everyone connected. Every Grand Highlander comes standard with the Toyota Audio Multimedia Platform with a 12.3-inch touchscreen and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
19,2,"Toyota Crown features the newest technologies from Toyota. Every grade comes standard with the latest Toyota Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
19,3,"When it comes to cutting-edge connectivity, Prius delivers thanks to the intuitive Toyota Audio Multimedia platform. Featuring an 8-inch or an available 12.3-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
19,4,There are also available dual USB charging ports to keep your devices charged on the go. Available heated front and rear seats will keep you comfy on those cold mornings and chilly nights. And the Elantra's available integrated memory system remembers the position of the driver's seat and the side mirrors you prefer for those times someone else has been behind the wheel.
19,5,"Every model in the Corolla lineup features Toyota's latest Audio Multimedia systems, complete with 7-inch touchscreen on Corolla L and 8-inch touchscreens on all other models. These systems also all feature standard Apple CarPlay compatibility. Apple CarPlay is the smarter way to use your iPhone in the car."
19,6,"Service Connect, which can connect Corolla to your dealership of choice, offering vehicle status updates and maintenance alerts. And even standard Wi-Fi Connect, which enables up to five mobile devices to connect to an in-vehicle Wi-Fi hotspot. Also standard equipment on hybrid and X-grade models is a slick digital instrument panel that includes a 7-inch color multi-information display seamlessly integrated into the surrounding analog gauge cluster."
20,1,"AMG Drive Unit's steering wheel buttons can also be used to toggle between different settings for other features. For instance, exhaust flaps for the AMG Performance Exhaust, if equipped, or to enable manual shifting mode. Now, let's get inside the GT 63 S and take a look at some of the interior innovations that are now standard for the entire AMG GT model line."
20,2,You are a GT owner yourself. Yeah. So you're the perfect person to ask what is the essence of an AMG GT and what makes this so AMG?
20,3,The AMG of AMGs.
20,4,I did many cars with my team but the e-tron GT is by far the most attractive car I designed in my career.
20,5,"a four-door with all that as well. Yes, the Charger Daytona will be available as a two-door coupe and the four-door sedan hatch, both with the same wide-body stance that will put the passive world on notice. And what else puts the passive world on notice is our frasonic chambered exhaust system."
20,6,"We consider the 2017 GTB as an ultimate base for the development and competition of the GT3. We believe that, as we have said for the past 50 years, we will not allow others to value the symbolic value of this GT3. We are very happy to be able to achieve such a great value, which has inspired us and has affected our sport."
21,1,"With a wide range of colour options, exterior differentiation and interiors, you can make the Taycan truly yours. The sound has always been a critical part of the Porsche driving experience, and with the Taycan we had to develop a new sound signature that was futuristic, yet authentic. The Porsche electric sport sound gives the Taycan a distinctive and emotional sound signature, making it a true Porsche."
21,2,"At the end of the day, the most important thing about the Taycan is it is still a true Porsche sports car. It has the soul of a Porsche electrified."
21,3,"So we've decided to do the next best thing and bring the Taycan to you. I'm here with the stars of the show, the Taycan Turbo S and the Taycan 4S. Our product manager for the Taycan, Pavel Sperin, is on hand to give you a quick tour of some of the key highlights of the two vehicles and also give you some insight into what it's like to own a new Porsche Taycan."
21,4,"Hello, everyone. My name is Hussein. I was part of an amazing team that brought you this Next Generation Sync."
21,5,Hello and welcome to Ask Porsche. I'm Alex and this is Andy from Porsche. Hi.
21,6,"We're here in the studio in Stuttgart-Zuffenhausen and I will be asking him your questions about this beautiful car, the Taycan, Porsche's first all-electric car. Turbo means much more to us. Does it really make that sound?"
22,1,"As you go down Through the car, you'll see it has a lot of spotty shape. You get to the back of the car, you see the big haunches on the rear, how the car really sits on its wheels, very dynamic, very powerful. Through the center of the car, we have a dominant center console, which houses the lithium ion battery pack, which is very large, and therefore the chassis is specifically designed to house this battery pack."
22,2,"cars you know the battery race continues here you are breaking away with lithium iron yeah it's the same family of chemistry in the lithium chemistry but we're using lithium iron instead of lithium ion or lithium ion phosphate so we give up a little bit of power density but it's a much safer battery pack we don't have runaway thermal issues if you'll remember a few years ago there were laptop computers that were catching on fire that was the lithium ion chemistry because they continue to be used today yeah and if If you have a proper cooling system, you're fine."
22,3,"The i3's lithium-ion battery pack is encased in a sealed aluminum shell that is fully integrated into the underbody of the vehicle. The battery consists of eight separate modules, each consisting of 12 lithium-ion cells. Each of the eight modules weighs approximately 55 pounds for easy shipping and storage."
22,4,"And you have to imagine that the full techniques behind the cables, the contacts and all the step around the cooling of the high-voltage system. Regarding the cooling system, it's really important that the cells are always in a stable temperature area, so they don't like it if it is too cold or if it is too hot. My name is Andreas Nöst."
22,5,For us at Audi it's about optimizing the power from the battery. This has been achieved by innovative developments in the battery cell chemistry itself. Energy management is essential to what we do.
22,6,"In order to ensure optimal driving range and longevity, a significant portion of the car's design went around the battery pack to make sure it was of proper size without negatively impacting interior space. The aluminum container measures 57.5 inches long, 14.2 inches high, and 13 inches wide, and contains 96 lithium-ion battery cells weighing 216 pounds in total."
23,1,"Highlander doesn't come up short on comfort offerings either, with standard three-zone automatic climate control, several available features like heated and ventilated front seats, heated second-row seats, and heated steering wheel, and even standard leather-trimmed seating on Limited and Platinum grades. And speaking of seating, Highlander XLE, Limited, and Platinum all now include a front passenger seat with 8-way power adjustability for 2022."
23,2,"Toyota Grand Highlander redefines the family SUV with its clean, sophisticated design and impressive versatility. Featuring seating for up to eight and intuitive technologies that are designed to help keep everyone connected and safe on the road, Grand Highlander is all about making the journey fun and easy. Together with its three responsive powertrain choices, as well as the added traction of available all-wheel drive, Grand Highlander is the ultimate SUV."
23,3,Discover Highlander today on toyota.com slash Highlander.
23,4,"Yes, you can get over 150 mpg. The exact number, of course, is at NissanUSA.com. Alright, this is the LA Auto Show and you can see how excited people are about these new Nissan vehicles."
23,5,"For the past four years, the Toyota Highlander has been the best-selling retail vehicle in the extremely competitive midsize SUV segment, and this fourth generation raises the bar even further, thanks to its injection of serious style, performance, and premium features. Highlander's lineup includes gasoline and hybrid, front-wheel drive, and all-wheel drive variations across six grades, with some new configurations, including the all-new XSE. Let's learn more."
23,6,"To craft Highlander's exterior appearance, Toyota's designers sought to achieve an organic blend of power and sophistication. With its sculpted styling, Highlander makes a statement whether it's pulling up to the restaurant for date night or cruising down the highway with your crew on an epic road trip. This exterior isn't just about looks, though, with Highlander also offering standard LED lighting on all grades, including the freshly updated projector-style lamps that were previously only featured on Limited and Platinum."
