Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
9,123,9_ioniq_hyundai_mobility_future,未使用（本次停用 LLM 主題命名）,"ioniq, hyundai, ev, electrified, vehicle, vehicles, powertrains, electric, egmp, mobility","mobility, charging, future, new, vehicle, electric, first, platform","ioniq, hyundai, mobility, charging, future, new, xrt, ev, electric","The IONIQ 5 is a vehicle unlike anything in the market, a crossover that sets a new standard for Hyundai and the EV industry as a whole, redefining the electric mobility lifestyle for a new generation of eco-savvy customers. One look and you'll understand why we are thrilled to introduce you to Hyundai's first ever IONIQ And thank you for joining us. We in the design team can't describe how excited we are about the new IONIQ 5. || Let's just say it. Let's put it out there. What makes Hyundai IONIQ stand out? || Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric. || Who had the Tar Heels winning their bracket, by the way? Anyone? That spot highlights the fast-paced product cadence driving our growth, showing the four new products we launched just last year. || Hey everyone I'm Jesse and I'm Gian. Jesse and I are both Hyundai product specialists and this is a special head-to-head edition of Hyundai showroom walk around. Now today it's mid-sized sedans and we've got three of them in here with us. || And that's what Hyundai Click to Buy is. Because you can go through that whole car purchasing process all from the comfort of your own home. From the shopping to loan approval, everything is completely online."
10,112,10_google_car_android_phone,未使用（本次停用 LLM 主題命名）,"smartphone, android, apps, iphone, app, devices, phone, apple, car, connectivity","car, smartphone, system, connected, maps, apps, navigation, example, free","google, car, android, phone, also, smartphone, connected, apple, maps","including the Google Assistant, Google Maps, and Google Play. Google Maps helps you reach your next destination faster with real-time traffic info, automatic rerouting, and voice control. Naturally, Google Maps also offers a lot of useful information for an electric car, including range, estimated battery level when you reach your destination, and finding charging stations along your route. || including the Google Assistant, Google Maps, and Google Play. Google Maps helps you reach your next destination faster with real-time traffic info, automatic rerouting, and voice control. Naturally, Google Maps also offers a lot of useful information for an electric car, including range, estimated battery level when you reach your destination, and finding charging stations along your route. || If you have an iPhone it's called CarPlay if you're an Android user like Samsung HTC LG Sony and so on it's called Android Auto as you can see in the video here you simply connect your favorite smartphone to your vehicle it charts up your phone of course put it away so you're not tempted to touch your phone when you're behind the wheel and now the dashboard in this case a 7-inch touchscreen dashboard with the the spark it'll it'll somewhat resemble your home screen that familiar smartphone home screen that you know and love already with the apps that you know and love as well important point because it doesn't just mirror your smartphone but instead this is a custom view so it's a safer experience that means you have all of those things that you could need while you're driving for example as an Android user I love Google Maps so I easily have access to Google Maps at my fingertips but also hands-free again for a safer experience. || When you come, the car will instantly ask you what is the desired driver profile. Over the personalization function, you can have up to six individual user profiles stored in the Audi Cloud and retrieving all cars that are connected via the MyAudi account, which means the cumbersome adjusting of seats, exterior mirrors, air conditioning and infotainment is a thing of the past. Q5 now receives the latest infotainment generation, the MIB3, with a 10.1-inch large touch display. || And it will tell him what speed to drive so that he can pass the next traffic light through a green light. With function on demand, you can now also release services subsequently that you may not have considered when you ordered a car. If this Q5, for example, would not have navigation plus or audio smartphone interface, well, the owner could order these functions subsequently by going through myAudi app and order them. || Any personal Amazon Alexa account can also be operated quite conveniently by voice control in the Q5. If you want to take the Q5 off the road to enjoy it, well, you will have inclination and or display available and also a downhill assist to help you."
11,109,11_accord_sonata_camry_gian,未使用（本次停用 LLM 主題命名）,"accord, sonata, hyundai, sedan, coupe, honda, civic, car, camry, design","accord, new, design, look, overall, car","accord, sonata, camry, gian, honda, new, design","Now, one more thing that you are going to love about the Sonata, we have a hands-free smart trunk. Not available on the Camry. Nope, the Accord doesn't have it either. || We'd like to think that this Accord will ace the ballet test like no other Accord that's come before it. Of course, our story is much more than just styling. This will be the most fun-to-drive Accord ever. || Just a back. Well, speaking of back ends, Zhiyun, how did the Camry and Accord line up? Here's the Accord. || But what we might not realize is that Camry and Accord never recovered. They saw further sales and share losses more than a year before the 2011 earthquake in tsunami. Camry sales in 2010 dipped 31% in their 2007 fee. || Accord sales dropped 28% during the same period. And this slide has continued. Even with triple digits, then it increases in incentive spending. || The Accord's a mainstream car, but compared to the other mainstream cars in the segment, it always drove just a little bit better than the competition. The Accord had enormous historic significance. It revolutionized the auto industry is what it did."
12,106,12_eqs_eqe_eq_mercedes,未使用（本次停用 LLM 主題命名）,"eqs, eqe, eq, mercedes, car, benz, electric, luxury, experience, design","electric, new, car, air, first, system, specific, light","eqs, eqe, mercedes, eq, amg, electric, car, in, air, also","And thank you guys for joining and for watching. Get ready to receive more walk arounds. The Concept Mercedes-Maybach EQS, the AMG EQS and the Concept EQG are still waiting for you. || My name is Amanda Stretton and today we've got something very special for you. So join me as I get to spend the day with the new EQE by Mercedes EQ. The EQE is the latest all electric business saloon by Mercedes EQ with its cutting edge exterior design and truly pioneering levels of engineering. || So EQE, newest member of Mercedes EQ. Walking up to it, it's a familiar design language. Yeah, the EQS and the EQE share a lot of the same design signatures that make it true to the Mercedes EQ family. || I think you're absolutely right. And there's actually a question here that's asking from RJ. Can you tell us more about the Emergy concept? || The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. My name is Nick and I'm here to meet Brian to see the all-new Mercedes-Benz AMG EQS. Hey Nick. || That looked like fun. Yeah, it's an absolute blast. So what do you think of the EQS 580?"
13,98,13_volvo_s60_new s60_car,未使用（本次停用 LLM 主題命名）,"volvo, cars, car, diesel, safety, dealers, sweden, s60, safest","s60, car, new, world, safety, cars, plant","volvo, s60, car, you, safety","When will the new S60 come to Turkey? I guess we can use this one to open up about the rollout around the world. We currently have a very pleasant problem at Volvo. || Hello and welcome wherever you are in the world to this very special occasion, the global livestream reveal of the Volvo S60, the new Volvo S60. I'm Jason Barlow, and we're coming to you live from the Volvo Ocean Race Village in sunny Gothenburg. Not so sunny at the moment, but we're all good. || This is really important, delivered to us via... Facebook so please please fire away this is your golden opportunity to get to the heart of the new machine okay speaking of which let's get down to business as I speak something big is happening close to Charleston in South Carolina where the new s60 has literally just been revealed to a VIP audience and worldwide media here's what Volvo CEO Hawkins Samuelson had to say This is a milestone for Volvo and with this factory Volvo is now truly global with the three home markets and where the factories have their role in the global production system. || Maybe not the iPhone 6, but I got an iPhone 5 to fit. Single cup holder up front, two in the rear, flip open the center console and you have a little bit of storage space, a 12-volt power outlet, and a phone clip-in adapter. As far as the steering wheel, on the left-hand side you have your cruise control, and the right-hand side houses your hands-free telephone, voice commands, and radio controls. || Yes, let's do it. My name is Matthias Klippfer. At Mercedes-Benz I am responsible for the development of hybrid transmission software. || Here we go! My name is Matthias Struck. I'm a senior safety engineer in vehicle safety at Mercedes-Benz."
14,96,14_infiniti_market_infinity_sales,未使用（本次停用 LLM 主題命名）,"infiniti, infinity, brand, market, markets, luxury, cars, industry, car","market, infinity, brand, sales, growth, cars, new","infiniti, market, in, infinity, brand, sales, china, growth, cars","This morning we are about to launch Infiniti on a bold new journey. A new Infiniti brand direction built on a foundation of our past and guided by a very clear vision for the future. Infiniti began in 1989 primarily as a US brand. || This year, Infiniti's team unveiled the new Infiniti Emerge E concept for the first time in North America. It's the brand's hybrid sports car that gives a glimpse into Infiniti's future. It's impressive lines. || Look, obviously, Infiniti is at this stage still a US-centric brand. This is by far our strongest market. But as we are now beginning to set up a global footprint, probably starting also with us locating our global headquarters in Hong Kong, The Chinese market today is the world's largest car market and certainly no car company could imagine to be a strong player in the world markets if you aren't also there with a strong presence in China. || It's great to be back in Detroit. In each of the past two years, I took the stage here and introduced important products to the Acura brand, new vehicles that would deliver on core Acura values and that have created powerful momentum. Of course, I'm talking about the MDX, the best-selling luxury three-row SUV over the past 10 years here in America, and the TLX, which has quickly become one of our best-selling vehicles. || And the parts also come from Mexico partly? Yes indeed, some of the parts for China come from Mexico. Following that one, a question to Christian. || 12.3% growth outpacing the industry three times over. year-over-year growth in every market we operate in. 2016 also marked our seventh consecutive year of international market share growth and the fourth consecutive year we've established an all-time sales record."
15,92,15_xc90_new xc90_ex90_volvo,未使用（本次停用 LLM 主題命名）,"xc90, xe90, ex90, v90, volvo, new, ex30, design, beginning","new, safety, car, road, design, beginning, cars, world, seat, system","xc90, new, ex90, volvo, safety, you, road, design, beginning, cars","Turn it up, and it'll be all-new. And the XC90 XC90 has a new design. It's a new design. || The all-new XC90. A new safety, a new beginning. Think the all-new XC90. || The all-new XC90. A new design, a new beginning. The all-new XC90. || That's afforded by the motors that are embodied in the XF-30 transmission here. So you've basically got virtually the same hardware, but you're able to drive it a little bit harder through different programming. I would say that's a good way to state it. || Including a quiet pure electric mode, which means you don't use fuel for up to 43 kilometers. Plus, charge it conveniently through your home socket. The acclaimed 7-seat Volvo XC90 T8 twin engine. || The new Volvo XC90 T8 twin engine provides a great comfort for all. With a powerful power and a great power steering, it's a great car for all. And it's also a great car for all."
16,91,16_clarity_fuel_fuel cell_cell,未使用（本次停用 LLM 主題命名）,"clarity, hybrid, hybrids, plug, electrification, electrified, toyota, honda, fuel, electric","clarity, fuel, cell, electric, vehicles, plug, electrified, hybrid, customers, hydrogen","clarity, fuel, cell, electrified, hybrid, honda, mirai, hydrogen, range","Hello everyone. We're thrilled to bring you this first look at our innovative new Clarity Series. The Clarity Fuel Cell, Clarity Electric, and Clarity Plug-in Hybrid. || Today we're proud and excited to showcase our entire Clarity series of electrified vehicles with the focus on the world debut of the Clarity Electric and Clarity Plug-in Hybrid. We kicked off the launch last December with the first deliveries of the Clarity fuel cell to customers in Southern and Northern California. || Today we're proud and excited to showcase our entire Clarity series of electrified vehicles with the focus on the world debut of the Clarity Electric and Clarity Plug-in Hybrid. We kicked off the launch last December with the first deliveries of the Clarity fuel cell to customers in Southern and Northern California. || This is the new 2021 Pinnacle trim level shown on our plug-in hybrid and it's fitting that we're showing you this interior that goes further than anything we've ever done before in a vehicle that can take you further and it makes sense that a vehicle that gets 80 mpg equivalent showcases an interior that you won't want to get out of. || Well, when you look at the Earth's climate, you realize that a shift towards zero emission is necessary. But when you look at the consumer climate, you understand that the adoption is a bit cooler. Our cars are home here because they are vehicles of change. || Today we already have more than 100 Clarity fuel cells on the road used by customers as a daily driver while emitting nothing but water vapor in the process. The Clarity Series is the first of its kind. The very first car in the industry to offer fuel cell, battery electric, and plug-in powertrains on a single vehicle platform."
17,78,17_mustang_mach_mustang mach_ford,未使用（本次停用 LLM 主題命名）,"mustang, mustangs, ford, car, vehicle, mach, driving, drive, road, pony","vehicle, car, customers, different, electric, intelligent","mustang, mach, ford, vehicle, mustangs, drive","And after 40 years at this company, I gotta tell you, I'm thrilled. The vehicle is going to be called the Mustang Mach-E. Mustang means American freedom and independence of spirit, and Mach means fast. It's an E good for everybody. || I got my first Mustang before I could even drive. My Mustang is everything to me. I grew up in Vietnam and my first image of a Mustang was everything that I thought was great about America. || So now it's time to take a closer look at what it's like actually living with the Mustang Mach-E. And over to my first guest, he is the Mustang Mach-E product manager for Europe, a fellow EV enthusiast, and someone who's been very fortunate to actually live with the Mustang Mach-E prototype for a while now. Stefan Tiniman, welcome, so good to see you. Hello, Nikki. || And welcome to From Behind the Wheel. My name is Nikki Shields, and we are absolutely thrilled that you're joining us virtually from all around Europe. And no doubt, just like me, you're probably extremely eager to have a detailed look at the exciting, the all new, all electric Ford Mustang Mach-E. Well, I've got some good news, and I think we all need a bit of that right now, don't we? || Because that's exactly why we're all here, to get into the detail of Ford's first ground up. electric vehicle and dramatic new member of the iconic and global Mustang family. Now, as we're going to find out over the next 30 minutes, the Mach-E accomplishes the rare feat of combining head-turning design, dynamic, thrilling performance and forward-looking, intelligent and connected technology in an all-electric SUV. || Now, like you, I'm very excited to know more, which is why we've put Darren Palmer and Ron behind the wheel. Two men who are very passionate to ensure that the first all-electric Ford Mustang really does bring on tomorrow. So let's see what this thing can do."
18,72,18_k27_america_electric_ev,未使用（本次停用 LLM 主題命名）,"ev, cars, vehicles, car, vehicle, promotional, dealer, innovation, affordable","electric, vehicles, affordable, first, evolution, pre, auto","k27, kandy, ev, vehicles, affordable, northpoint","It's not a typo. The K27 really is that affordable. Introducing the all-electric Kandy K27. || Now you know what we mean when we say candy is the auto evolution for all. As you can see, Candy America is committed to offering the most affordable vehicles on the U.S. market, so anyone who wants to drive one can do so. Now, let's take a look at the model K23. || Today, after much anticipation and with growing market demand, we are proud to announce that Candy is enabling the auto evolution for all with its line of affordable electric vehicles. We are excited to present the first two models of our electric vehicles, K23 and K27, for the U.S. market, which are currently the most affordable models on the market. Today we mark this event as a milestone for the new era. || You think management will give us... I need energy, sugar, now. Perfect excuse to top up both. || One of my favorite guesses is someone thought that Gwyneth Paltrow was going to be in the box. I know it's so random. Sorry to disappoint but Gwyneth Paltrow will not be in the box and many other guesses as well. || There is a movement taking place that until now has been limited to only a fraction of American drivers. Today, that changes. Meet Candy America, America's hottest new brand of electric vehicles set to take the market by storm."
