dataset_row,title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,word_count,char_count,topic,document,sentence
11,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,2,2,2,1,22,165,0,"With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle.","With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle."
12,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,3,3,5,3,14,65,0,Ready to see for yourself? Let's go. I need my car to look great.,Ready to see for yourself? Let's go. I need my car to look great.
13,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,4,6,6,1,28,126,0,"I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.","I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
14,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,5,7,8,2,37,225,0,"Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard.","Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard."
15,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,6,9,9,1,12,57,0,And then when you go to the interior it only gets better.,And then when you go to the interior it only gets better.
16,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,7,10,11,2,18,118,0,Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.,Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.
17,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,8,12,13,2,14,116,0,"Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather.","Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather."
18,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,9,14,15,2,23,116,0,"Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers.","Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers."
19,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,10,16,17,2,15,85,0,"I mean, it's like we're all riding first class, baby. How about this for convenience?","I mean, it's like we're all riding first class, baby. How about this for convenience?"
20,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,11,18,18,1,36,200,0,"The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone.","The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone."
21,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,12,19,19,1,23,145,0,"Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.","Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures."
22,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,13,20,22,3,37,214,0,"What? Mind blown! And as if all that wasn't enough, Acura went ahead and made its Acura watch, advanced safety a driver assistance technology package, standard, huh, standard, that has a nice ring to it doesn't it?","What? Mind blown! And as if all that wasn't enough, Acura went ahead and made its Acura watch, advanced safety a driver assistance technology package, standard, huh, standard, that has a nice ring to it doesn't it?"
23,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,14,23,23,1,26,205,0,"This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims.","This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims."
24,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,15,24,24,1,41,210,0,"And while you're checking out that list, let me highlight one of those for you, head up display, yes this is a super cool technology, you've got to pay a lot of money for this and other cars, it comes standard.","And while you're checking out that list, let me highlight one of those for you, head up display, yes this is a super cool technology, you've got to pay a lot of money for this and other cars, it comes standard."
25,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,16,25,25,1,19,126,0,"Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation.","Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation."
26,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,17,26,26,1,36,186,0,So it seems like one of the most compelling reasons to put the Acura RLX Sport Hybrid on your shopping list is the fact that it comes loaded with so many of these cool standard features.,So it seems like one of the most compelling reasons to put the Acura RLX Sport Hybrid on your shopping list is the fact that it comes loaded with so many of these cool standard features.
27,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,18,27,28,2,17,94,0,This isn't your basic boring hybrid. It utilizes the same kind of technology found in the NSX.,This isn't your basic boring hybrid. It utilizes the same kind of technology found in the NSX.
28,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,19,29,29,1,13,82,0,"And this RLX Sport Hybrid isn't just some cushy, sophisticated piece of machinery.","And this RLX Sport Hybrid isn't just some cushy, sophisticated piece of machinery."
29,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,20,30,31,2,15,78,0,Now this thing is fun to drive. It has a whopping 377 total system horsepower.,Now this thing is fun to drive. It has a whopping 377 total system horsepower.
30,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,1,1,3,3,16,84,0,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
31,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,2,5,7,3,15,89,0,"The handling was spectacular, I thought. Handles really well. Like no money in my boxcar.","The handling was spectacular, I thought. Handles really well. Like no money in my boxcar."
32,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,3,8,9,2,14,66,0,He was having far too much fun. All the technology is easy to use.,He was having far too much fun. All the technology is easy to use.
33,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,4,10,11,2,18,94,0,"It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back.","It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back."
34,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,5,12,12,1,23,106,0,My wife was commenting on how nice the lighting system was in the car and how easy it was to see the road.,My wife was commenting on how nice the lighting system was in the car and how easy it was to see the road.
35,"Acura Acura 2014 RLX Consumer Drive Event; Napa Valley, CA (360p 30fps H264 128kbit AAC)",3,6,13,14,2,12,54,0,I went and put them on brights. it was like full moon.,I went and put them on brights. it was like full moon.
36,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,1,9,11,3,17,86,0,It is a beautiful design. Yes. John and Kate and his design team did an excellent job.,It is a beautiful design. Yes. John and Kate and his design team did an excellent job.
37,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,2,12,13,2,17,77,0,Absolutely. But what do you say we get inside the car and take it for a spin?,Absolutely. But what do you say we get inside the car and take it for a spin?
38,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,3,14,16,3,16,87,0,"Yeah, let's go. All right. Looks like we've got a nice-looking trio of Acura ILXs, Lee.","Yeah, let's go. All right. Looks like we've got a nice-looking trio of Acura ILXs, Lee."
39,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,4,17,18,2,17,100,0,"Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice.","Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice."
40,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,5,19,21,3,22,126,0,Let's start here with Acura's first hybrid. It's a 1.5-liter hybrid system with a CVT transmission. What's this one over here?,Let's start here with Acura's first hybrid. It's a 1.5-liter hybrid system with a CVT transmission. What's this one over here?
41,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,6,22,24,3,29,152,0,"The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one.","The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one."
42,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,7,27,29,3,18,88,0,What about this one over here? Yep. What we think is going to be our most popular model.,What about this one over here? Yep. What we think is going to be our most popular model.
43,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,8,30,31,2,18,105,0,"It's a 2.0 liter engine, putting out 150 horsepower. It's made it to a five-speed automatic transmission.","It's a 2.0 liter engine, putting out 150 horsepower. It's made it to a five-speed automatic transmission."
44,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,9,32,33,2,17,87,0,Right. Nice blend of features for each person that's in the market for a car like this.,Right. Nice blend of features for each person that's in the market for a car like this.
45,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,10,34,35,2,17,112,0,Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this.,Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this.
46,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,11,36,37,2,28,166,0,Are there any suspension improvements that were made? This vehicle does have amplitude reactive dampers to help to keep the body flat and keep control over the bumps.,Are there any suspension improvements that were made? This vehicle does have amplitude reactive dampers to help to keep the body flat and keep control over the bumps.
47,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,12,38,38,1,27,138,0,I really like the way Acura has put a lot of the features and functionality into keeping connected whether it be by music or by the phone.,I really like the way Acura has put a lot of the features and functionality into keeping connected whether it be by music or by the phone.
48,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,13,39,39,1,35,191,0,Definitely got a lot of connectivity to the driver and I think that's what really makes Acura such a driver's brand is the ability of someone to personalize and really make the car their own.,Definitely got a lot of connectivity to the driver and I think that's what really makes Acura such a driver's brand is the ability of someone to personalize and really make the car their own.
49,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,14,40,41,2,39,223,0,"Absolutely. The key point of the driver is to drive, but we understand that connectivity and entertainment are high priorities, so we try to put the features and the controls where they need to be that's more easily usable.","Absolutely. The key point of the driver is to drive, but we understand that connectivity and entertainment are high priorities, so we try to put the features and the controls where they need to be that's more easily usable."
50,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,15,42,42,1,16,88,0,"And then with an Acura, I've come to expect things like a quiet road driving experience.","And then with an Acura, I've come to expect things like a quiet road driving experience."
51,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,16,43,43,1,21,115,0,So what kind of measures were taken on your end to make sure that the driver's somewhat isolated from those noises?,So what kind of measures were taken on your end to make sure that the driver's somewhat isolated from those noises?
52,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,17,44,44,1,28,175,0,"Yeah, there's extra insulation placed throughout the vehicle, inside the cabin and in the engine bay throughout the vehicle that help keep that unwanted noise outside the car.","Yeah, there's extra insulation placed throughout the vehicle, inside the cabin and in the engine bay throughout the vehicle that help keep that unwanted noise outside the car."
53,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,18,45,46,2,27,144,0,"Right. Hey, Lee, is there anything about fuel economy in terms of measures that were taken to make sure that the ILX performs the way it should?","Right. Hey, Lee, is there anything about fuel economy in terms of measures that were taken to make sure that the ILX performs the way it should?"
54,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,19,47,48,2,66,400,0,"Absolutely. Quite a few things, starting from the aerodynamics of the car, not only the overall shape, but things like the underbody covers that are designed to help air slip through the bottom of the vehicle, all the way to things like tires, having the right rubber compound for minimum rolling resistance, and then things like transmission tuning, engine tuning, all done for maximum fuel economy.","Absolutely. Quite a few things, starting from the aerodynamics of the car, not only the overall shape, but things like the underbody covers that are designed to help air slip through the bottom of the vehicle, all the way to things like tires, having the right rubber compound for minimum rolling resistance, and then things like transmission tuning, engine tuning, all done for maximum fuel economy."
55,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,20,49,51,3,23,111,0,"This has been a really fun drive. I think I might want to take this one on my next road trip. Yeah, definitely.","This has been a really fun drive. I think I might want to take this one on my next road trip. Yeah, definitely."
56,Acura Acura Acura Headquarters Tyson Hugie Drives the ILX (1080p 30fps H264 128kbit AAC),4,21,52,54,3,21,96,0,Let's see what we can do. Maybe we can get you behind the wheel of one of these cars. All right.,Let's see what we can do. Maybe we can get you behind the wheel of one of these cars. All right.
57,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,1,2,4,3,18,101,0,"Thank you. Good afternoon, everyone. It's great to begin the new year in Detroit with the Acura team.","Thank you. Good afternoon, everyone. It's great to begin the new year in Detroit with the Acura team."
58,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,2,5,5,1,14,78,0,"After a very challenging year in 2011, we started in 2012 with great momentum.","After a very challenging year in 2011, we started in 2012 with great momentum."
59,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,3,6,6,1,19,107,0,"Today, I am happy to introduce a car that demonstrates our passion for performance and for the Acura brand.","Today, I am happy to introduce a car that demonstrates our passion for performance and for the Acura brand."
60,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,4,7,8,2,12,64,0,I first became involved with Acura about 25 years ago. So young.,I first became involved with Acura about 25 years ago. So young.
61,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,5,9,9,1,20,102,0,I led a team of young engineers developing the body of a new supercar that would become the Acura NSX.,I led a team of young engineers developing the body of a new supercar that would become the Acura NSX.
62,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,6,10,11,2,28,165,0,"It was the biggest engineering challenge of our lives. Through our approach to create a lightweight supercar with an all aluminum body, the Acura NSX became an icon.","It was the biggest engineering challenge of our lives. Through our approach to create a lightweight supercar with an all aluminum body, the Acura NSX became an icon."
63,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,7,12,12,1,23,127,0,"Its key attribute was power to weight ratio, which helped provide a fun to drive experience to anyone who got behind the wheel.","Its key attribute was power to weight ratio, which helped provide a fun to drive experience to anyone who got behind the wheel."
64,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,8,13,13,1,15,84,0,"Since production of NSX ended in 2005, we have strived to create a worthy successor.","Since production of NSX ended in 2005, we have strived to create a worthy successor."
65,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,9,14,14,1,12,79,0,"Yet, many global changes have affected the automobile industry since that time.","Yet, many global changes have affected the automobile industry since that time."
66,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,10,15,15,1,25,139,0,"In this new era, even as we focus on the fun-to-drive spirit of the NSX, I think a supercar must respond to environmental responsibilities.","In this new era, even as we focus on the fun-to-drive spirit of the NSX, I think a supercar must respond to environmental responsibilities."
67,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,11,16,16,1,16,88,0,"To achieve this, the vehicle I share with you today will have two very important traits.","To achieve this, the vehicle I share with you today will have two very important traits."
68,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,12,17,17,1,13,92,0,"First, it will have advanced technology that enhances fun-to-drive handling and performance.","First, it will have advanced technology that enhances fun-to-drive handling and performance."
69,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,13,18,18,1,19,102,0,"Second, it will express our own core values to create and sustain a world where people can enjoy life.","Second, it will express our own core values to create and sustain a world where people can enjoy life."
70,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,14,19,19,1,17,116,0,"So, we will again express high performance through engineering efficiency, and that's something unique to Acura DNA.","So, we will again express high performance through engineering efficiency, and that's something unique to Acura DNA."
71,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,15,20,20,1,21,124,0,This NSX concept is powered by a mid-engine V6 and a new Acura exclusive sport hybrid super handling all-wheel drive system.,This NSX concept is powered by a mid-engine V6 and a new Acura exclusive sport hybrid super handling all-wheel drive system.
72,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,16,21,21,1,19,110,0,This system will make NSX the ultimate expression of the Acura idea to create synergy between man and machine.,This system will make NSX the ultimate expression of the Acura idea to create synergy between man and machine.
73,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,17,22,22,1,18,97,0,NSX will make the driver want with the car to enhance dynamic driving without getting in the way.,NSX will make the driver want with the car to enhance dynamic driving without getting in the way.
74,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,18,23,23,1,14,75,0,Our vision is to achieve performance that is up to the challenge of racing.,Our vision is to achieve performance that is up to the challenge of racing.
75,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,19,24,24,1,19,99,0,"So while we created this NSX concept for our customers, you might see NSX on the racetrack as well.","So while we created this NSX concept for our customers, you might see NSX on the racetrack as well."
76,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,20,25,25,1,21,109,0,A vehicle that is closely based on this NSX concept will come to market within three years on a global basis.,A vehicle that is closely based on this NSX concept will come to market within three years on a global basis.
77,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,21,26,26,1,24,119,0,And today I am excited to announce that this new actual supercar will be developed by an R&D team in the United States.,And today I am excited to announce that this new actual supercar will be developed by an R&D team in the United States.
78,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,22,27,28,2,28,152,0,"And we will build it in Ohio as well. We will continue to strengthen the Acura brand here, not only in sales, but development and manufacturing as well.","And we will build it in Ohio as well. We will continue to strengthen the Acura brand here, not only in sales, but development and manufacturing as well."
79,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,23,29,29,1,19,88,0,"In this way, the U.S. will be the strong hub of our global business for the Acura brand.","In this way, the U.S. will be the strong hub of our global business for the Acura brand."
80,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,24,30,30,1,35,189,0,"Acura is already in China, and starting next year, we will expand Acura to some of the world's growth sectors such as United Arab Emirates and Saudi Arabia as well as last year and Ukraine.","Acura is already in China, and starting next year, we will expand Acura to some of the world's growth sectors such as United Arab Emirates and Saudi Arabia as well as last year and Ukraine."
81,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,25,31,32,2,30,167,0,"Along with the Accurate team and Global Honda, I am excited about this new model and I sincerely hope our customers around the world will share our passion. Thank you.","Along with the Accurate team and Global Honda, I am excited about this new model and I sincerely hope our customers around the world will share our passion. Thank you."
82,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,26,33,35,3,28,137,0,Thank you. Thank you Mr. Ito. With the new Acura ILX sedan at the gateway to our lineup and the NSX concept is the pinnacle of the brand.,Thank you. Thank you Mr. Ito. With the new Acura ILX sedan at the gateway to our lineup and the NSX concept is the pinnacle of the brand.
83,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,27,36,36,1,17,88,0,I think you can see that every Acura vehicle is being designed to evoke passion and joy.,I think you can see that every Acura vehicle is being designed to evoke passion and joy.
84,Acura Acura NAIAS in Detroit Press Conference (2 of 3) The NSX (720p 30fps H264 128kbit AAC),5,28,37,38,2,39,183,0,Thank you for being with us. Now Mr. Ito will be available for a few quick photos then please join us and the rest of the Acura team on stage for a closer look at the future of Acura.,Thank you for being with us. Now Mr. Ito will be available for a few quick photos then please join us and the rest of the Acura team on stage for a closer look at the future of Acura.
85,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,1,1,2,2,13,76,0,We're here at the streets of Willow Springs racetrack. Acura brought us out.,We're here at the streets of Willow Springs racetrack. Acura brought us out.
86,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,2,3,4,2,12,62,0,"This is a sponsored video, by the way. I'm just super excited.","This is a sponsored video, by the way. I'm just super excited."
87,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,3,5,6,2,21,120,0,"They have this super, super car. Well, that's something I didn't anticipate, which is we're not even at the right track.","They have this super, super car. Well, that's something I didn't anticipate, which is we're not even at the right track."
88,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,4,7,9,3,22,123,0,We're at the right location. This is the right place. This is also the biggest Sam & Nico brand integration we've ever had.,We're at the right location. This is the right place. This is also the biggest Sam & Nico brand integration we've ever had.
89,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,5,10,11,2,15,82,0,"And we went to the wrong commercial set. And we, yeah, well, there's some cameras.","And we went to the wrong commercial set. And we, yeah, well, there's some cameras."
90,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,6,12,13,2,13,76,0,"That's probably where we need to go. Nope, but there's multiple tracks here.","That's probably where we need to go. Nope, but there's multiple tracks here."
91,Acura Acura NSXperiments Chapter 3; Light up the Track (1080p 24fps H264 128kbit AAC),6,7,14,14,1,25,129,0,And so we actually have to drive a mile within this location to get to the other racetrack Where the Acura chute is taking place.,And so we actually have to drive a mile within this location to get to the other racetrack Where the Acura chute is taking place.
